,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,"Lupi, Johannes",Veni speciosam,0.0,"['1/1.0', '2/3.0', '5/1.0', '6/3.0', '9/2.0', '10/1.0']","['P-4', 'P-5', 'P-4', 'P4', 'P8']","[0.0, 12.0, 32.0, 44.0, 66.0, 72.0]","[('5', '-2', '2', '3'), ('4', '-2', '2', '3')]","[12.0, 20.0, 12.0, 22.0, 6.0]","['Superius', 'Contratenor', 'PrimusTenor', 'Bassus', 'SecundusTenor', 'Superius']",FUGA,6,True
1,"Lupi, Johannes",Veni speciosam,94.0,"['12/4.0', '16/4.0']",['P4'],"[94.0, 126.0]","[('-3', '2', '2', '-2')]",[32.0],"['Bassus', 'Bassus']",FUGA,2,False
2,"Lupi, Johannes",Veni speciosam,138.0,"['18/2.0', '18/4.0', '19/4.0', '20/4.0', '21/2.0', '24/2.0', '24/4.0', '25/4.0']","['P-4', 'P4', 'P5', 'P5', 'M-9', 'P-4', 'P4']","[138.0, 142.0, 150.0, 158.0, 162.0, 186.0, 190.0, 198.0]","[('-2', '-3', '2', '2')]","[4.0, 8.0, 8.0, 4.0, 24.0, 4.0, 8.0]","['PrimusTenor', 'Bassus', 'SecundusTenor', 'Contratenor', 'Superius', 'PrimusTenor', 'Bassus', 'SecundusTenor']",FUGA,8,False
3,"Lupi, Johannes",Veni speciosam,226.0,"['29/2.0', '30/3.0', '31/2.0', '31/3.0', '34/4.0', '35/2.0', '37/2.0']","['P-4', 'P8', 'P-4', 'P4', 'P5', 'P-8']","[226.0, 236.0, 242.0, 244.0, 270.0, 274.0, 290.0]","[('5', '-2', '2', '3'), ('4', '-2', '2', '3')]","[10.0, 6.0, 2.0, 26.0, 4.0, 16.0]","['PrimusTenor', 'Bassus', 'Superius', 'SecundusTenor', 'Contratenor', 'Superius', 'PrimusTenor']",FUGA,7,True
4,"Lupi, Johannes",Veni speciosam,314.0,"['40/2.0', '41/2.0', '41/3.0', '42/2.0', '43/2.0', '43/4.0', '44/4.0', '45/2.0', '46/2.0']","['P8', 'P-5', 'P-4', 'P-5', 'm9', 'm-6', 'P12', 'P-8']","[314.0, 322.0, 324.0, 330.0, 338.0, 342.0, 350.0, 354.0, 362.0]","[('2', '-3', '2', '3'), ('2', '-3', '2', '4')]","[8.0, 2.0, 6.0, 8.0, 4.0, 8.0, 4.0, 8.0]","['Bassus', 'Superius', 'PrimusTenor', 'SecundusTenor', 'Bassus', 'Contratenor', 'PrimusTenor', 'Superius', 'SecundusTenor']",FUGA,9,True
5,"Lupi, Johannes",Veni speciosam,382.0,"['48/4.0', '49/1.0']",['P-4'],"[382.0, 384.0]","[('-2', '-2', '-2', '5'), ('-2', '-2', '-2', '4')]",[2.0],"['PrimusTenor', 'Bassus']",FUGA,2,True
6,"Lupi, Johannes",Veni speciosam,394.0,"['50/2.0', '51/4.0', '53/2.0', '54/3.0']","['P5', 'P1', 'P-8']","[394.0, 406.0, 418.0, 428.0]","[('3', '2', '-3', '-2')]","[12.0, 12.0, 10.0]","['SecundusTenor', 'PrimusTenor', 'SecundusTenor', 'Bassus']",FUGA,4,False
7,"Lupi, Johannes",Veni speciosam,430.0,"['54/4.0', '55/2.0', '56/2.0', '58/2.0', '58/4.0', '60/4.0', '62/2.0', '62/3.0', '64/2.0', '65/2.0', '65/4.0']","['P4', 'P5', 'M-9', 'P5', 'P-4', 'P-5', 'P4', 'P1', 'P-5', 'P5']","[430.0, 434.0, 442.0, 458.0, 462.0, 478.0, 490.0, 492.0, 506.0, 514.0, 518.0]","[('4', '1', '-2', '2'), ('5', '1', '-2', '2'), ('5', '1', '-3', '2')]","[4.0, 8.0, 16.0, 4.0, 16.0, 12.0, 2.0, 14.0, 8.0, 4.0]","['PrimusTenor', 'Contratenor', 'Superius', 'Bassus', 'PrimusTenor', 'SecundusTenor', 'Bassus', 'PrimusTenor', 'SecundusTenor', 'Bassus', 'PrimusTenor']",FUGA,11,True
8,"Lupi, Johannes",Veni speciosam,430.0,"['54/4.0', '55/2.0', '56/2.0', '56/4.0', '58/2.0', '58/4.0', '60/4.0', '62/2.0', '62/3.0', '65/2.0', '65/4.0']","['P4', 'P5', 'M-9', 'P1', 'P5', 'P-4', 'P-5', 'P4', 'P-5', 'P5']","[430.0, 434.0, 442.0, 446.0, 458.0, 462.0, 478.0, 490.0, 492.0, 514.0, 518.0]","[('4', '1', '-2', '2'), ('4', '1', '-2', '1'), ('5', '1', '-2', '2')]","[4.0, 8.0, 4.0, 12.0, 4.0, 16.0, 12.0, 2.0, 22.0, 4.0]","['PrimusTenor', 'Contratenor', 'Superius', 'SecundusTenor', 'Bassus', 'PrimusTenor', 'SecundusTenor', 'Bassus', 'PrimusTenor', 'Bassus', 'PrimusTenor']",FUGA,11,True
9,"Lupi, Johannes",Veni speciosam,430.0,"['54/4.0', '55/2.0', '56/2.0', '56/4.0', '58/4.0', '60/4.0', '62/2.0', '62/3.0', '65/4.0']","['P4', 'P5', 'M-9', 'P5', 'P-4', 'P-5', 'P4', 'P1']","[430.0, 434.0, 442.0, 446.0, 462.0, 478.0, 490.0, 492.0, 518.0]","[('4', '1', '-2', '2'), ('4', '1', '-2', '1')]","[4.0, 8.0, 4.0, 16.0, 16.0, 12.0, 2.0, 26.0]","['PrimusTenor', 'Contratenor', 'Superius', 'SecundusTenor', 'PrimusTenor', 'SecundusTenor', 'Bassus', 'PrimusTenor', 'PrimusTenor']",FUGA,9,True
10,"Lupi, Johannes",Veni speciosam,458.0,"['58/2.0', '64/2.0', '65/2.0', '67/2.0']","['P1', 'P-5', 'P5']","[458.0, 506.0, 514.0, 530.0]","[('5', '1', '-2', '2'), ('5', '1', '-3', '2'), ('5', '1', '-3', '3')]","[48.0, 8.0, 16.0]","['Bassus', 'SecundusTenor', 'Bassus', 'SecundusTenor']",FUGA,4,True
11,"Lupi, Johannes",Veni speciosam,506.0,"['64/2.0', '67/2.0']",['P1'],"[506.0, 530.0]","[('5', '1', '-3', '2'), ('5', '1', '-3', '3')]",[24.0],"['SecundusTenor', 'SecundusTenor']",FUGA,2,True
12,"Lupi, Johannes",Veni speciosam,594.0,"['74/2.0', '75/4.0', '79/4.0', '81/2.0', '82/4.0', '83/2.0']","['P-5', 'P-4', 'P-5', 'P12', 'P-8']","[594.0, 606.0, 638.0, 650.0, 662.0, 666.0]","[('3', '-2', '-2', '-2')]","[12.0, 32.0, 12.0, 12.0, 4.0]","['Superius', 'Contratenor', 'SecundusTenor', 'Bassus', 'Superius', 'PrimusTenor']",FUGA,6,False
13,"Lupi, Johannes",Veni speciosam,682.0,"['85/2.0', '87/2.0', '88/1.0', '90/4.0', '91/3.0', '94/3.0']","['P-5', 'P8', 'P-11', 'P8', 'P1']","[682.0, 698.0, 704.0, 726.0, 732.0, 756.0]","[('-3', '2', '2', '3'), ('-3', '2', '2', '2')]","[16.0, 6.0, 22.0, 6.0, 24.0]","['Contratenor', 'SecundusTenor', 'Superius', 'Bassus', 'Contratenor', 'Superius']",FUGA,6,True
14,"Lupi, Johannes",Veni speciosam,774.0,"['96/4.0', '97/4.0', '98/2.0', '99/2.0', '100/2.0', '101/2.0', '102/4.0']","['P4', 'P-4', 'P8', 'P-12', 'P4', 'M2']","[774.0, 782.0, 786.0, 794.0, 802.0, 810.0, 822.0]","[('-2', '-2', '-2', '2'), ('-2', '-2', '-3', '2')]","[8.0, 4.0, 8.0, 8.0, 8.0, 12.0]","['SecundusTenor', 'Contratenor', 'PrimusTenor', 'Superius', 'Bassus', 'SecundusTenor', 'Bassus']",FUGA,7,True
15,"Lupi, Johannes",Veni speciosam,838.0,"['104/4.0', '105/4.0', '106/2.0', '106/4.0', '107/4.0', '108/4.0', '110/2.0', '111/4.0']","['P4', 'P-4', 'm7', 'P-8', 'P5', 'P1', 'P8']","[838.0, 846.0, 850.0, 854.0, 862.0, 870.0, 882.0, 894.0]","[('3', '-2', '-2', '4'), ('3', '-2', '-3', '5'), ('3', '-2', '-2', '5')]","[8.0, 4.0, 4.0, 8.0, 8.0, 12.0, 12.0]","['PrimusTenor', 'Contratenor', 'SecundusTenor', 'Superius', 'Bassus', 'PrimusTenor', 'SecundusTenor', 'Superius']",FUGA,8,True
16,"Lupi, Johannes",Veni speciosam,838.0,"['104/4.0', '105/4.0', '106/4.0', '107/4.0', '108/4.0', '110/2.0']","['P4', 'P4', 'P-8', 'P5', 'P1']","[838.0, 846.0, 854.0, 862.0, 870.0, 882.0]","[('3', '-2', '-2', '4'), ('3', '-2', '-2', '5')]","[8.0, 8.0, 8.0, 8.0, 12.0]","['PrimusTenor', 'Contratenor', 'Superius', 'Bassus', 'PrimusTenor', 'SecundusTenor']",FUGA,6,True
17,"Lupi, Johannes",Veni speciosam,850.0,"['106/2.0', '106/4.0', '107/4.0', '111/4.0']","['m7', 'P-8', 'P12']","[850.0, 854.0, 862.0, 894.0]","[('3', '-2', '-3', '5'), ('3', '-2', '-2', '5')]","[4.0, 8.0, 32.0]","['SecundusTenor', 'Superius', 'Bassus', 'Superius']",FUGA,4,True
18,"Lupi, Johannes",Veni speciosam,910.0,"['113/4.0', '114/4.0', '116/2.0', '117/2.0', '119/4.0']","['P-4', 'P8', 'P5', 'P-8']","[910.0, 918.0, 930.0, 938.0, 958.0]","[('1', '-2', '-3', '3')]","[8.0, 12.0, 8.0, 20.0]","['PrimusTenor', 'Bassus', 'Contratenor', 'Superius', 'Bassus']",FUGA,5,False
19,"Lupi, Johannes",Veni speciosam,978.0,"['122/2.0', '122/4.0', '123/2.0', '125/1.0', '126/4.0', '127/3.0', '128/4.0', '129/4.0']","['P1', 'P8', 'P-5', 'P-5', 'P-8', 'P8', 'P1']","[978.0, 982.0, 986.0, 1000.0, 1014.0, 1020.0, 1030.0, 1038.0]","[('2', '-2', '-3', '2')]","[4.0, 4.0, 14.0, 14.0, 6.0, 10.0, 8.0]","['SecundusTenor', 'PrimusTenor', 'Superius', 'Contratenor', 'SecundusTenor', 'Bassus', 'Contratenor', 'SecundusTenor']",FUGA,8,False
