,Composer,Title,Measure,Beat,CadType,Tone,CVFs,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
52.0,Not found,Morley_p_068.Aria,7,3.0,Authentic,G,TCB,1.0,G3,P1,P8,0.3880597014925373,52.0,24.0,,
76.0,Not found,Morley_p_068.Aria,10,3.0,Authentic,G,tCB,1.0,G3,P1,P8,0.5671641791044776,24.0,20.0,,
96.0,Not found,Morley_p_068.Aria,13,1.0,Authentic,A,TCB,1.0,A3,M2,M2,0.7164179104477612,20.0,8.0,,
104.0,Not found,Morley_p_068.Aria,14,1.0,Clausula Vera,G,CT,1.0,G3,P1,P8,0.7761194029850746,8.0,8.0,,
112.0,Not found,Morley_p_068.Aria,15,1.0,Clausula Vera,D,CT,0.0,D4,P5,P5,0.835820895522388,8.0,4.0,,
116.0,Not found,Morley_p_068.Aria,15,3.0,Clausula Vera,G,CT,1.0,B3,M3,P8,0.8656716417910447,4.0,18.0,,
134.0,Not found,Morley_p_068.Aria,18,1.0,Authentic,G,TCB,1.0,G3,P1,P8,1.0,18.0,8.0,,
16.0,Morley,Plaine_1597_135_2,2,2.333333333333333,Authentic,C,CTB,1.0,C3,P1,P8,1.0,16.0,4.0,,
12.0,Morley,Plaine_1597_132_8,2,3.0,Phrygian Clausula Vera,A,CT,1.0,A3,P1,P8,1.0,12.0,4.0,,
16.0,Morley,Plaine_1597_135_3,2,2.333333333333333,Authentic,C,CB,1.0,C3,P1,P8,1.0,16.0,4.0,,
16.0,Morley,Plaine_1597_135_1,2,2.333333333333333,Authentic,C,tCTB,1.0,C3,P1,P8,1.0,16.0,4.0,,
56.0,Morley,Plaine_1597_76_3,8,1.0,Clausula Vera,G,CT,1.0,G3,P1,P8,1.0,56.0,8.0,,
8.0,Morley,Plaine_1597_135_5,1,2.333333333333333,Authentic,C,tCuB,1.0,C3,P1,P8,1.0,8.0,4.0,,
56.0,Morley,Plaine_1597_76_4,8,1.0,Clausula Vera,G,TC,1.0,G2,P1,P8,1.0,56.0,8.0,,
12.0,Morley,Plaine_1597_133_3,2,3.0,Authentic,G,CB,1.0,G2,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Plaine_1597_129_4,2,3.0,Authentic,C,CB,1.0,C3,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Plaine_1597_129_5,2,1.0,Clausula Vera,C,CT,1.0,C3,P1,P8,1.0,8.0,8.0,,
16.0,Morley,Plaine_1597_133_2,2,2.333333333333333,Evaded Clausula Vera,D,tC,1.0,D3,P1,P8,1.0,16.0,4.0,,
16.0,Morley,Plaine_1597_129_6,3,1.0,Authentic,G,CB,1.0,G3,P1,P8,1.0,16.0,8.0,,
8.0,Morley,Plaine_1597_133_1,2,1.0,Phrygian Clausula Vera,E,CT,1.0,E3,P5,P5,0.4,8.0,12.0,,
20.0,Morley,Plaine_1597_133_1,3,3.0,Clausula Vera,A,CT,1.0,A2,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Plaine_1597_133_11,2,3.0,Clausula Vera,F,CT,1.0,F2,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Plaine_1597_129_2,2,1.0,Clausula Vera,C,CT,1.0,C3,P1,P8,1.0,8.0,8.0,,
8.0,Morley,Plaine_1597_128_8,1,2.333333333333333,Evaded Clausula Vera,G,tC,1.0,G3,P1,P8,1.0,8.0,4.0,,
12.0,Morley,Plaine_1597_134_6,2,3.0,Clausula Vera,G,CT,1.0,G2,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Plaine_1597_129_3,2,3.0,Evaded Clausula Vera,C,tC,1.0,C3,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Plaine_1597_133_10,1,2.333333333333333,Authentic,C,CTB,1.0,C3,P1,P8,1.0,8.0,4.0,,
12.0,Morley,Plaine_1597_133_12,2,3.0,Authentic,B-,tCB,1.0,B-2,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Plaine_1597_129_1,2,3.0,Clausula Vera,C,CT,1.0,C3,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Plaine_1597_134_5,2,1.0,Clausula Vera,G,CT,1.0,B-2,-M3,P4,0.4,8.0,16.0,,
12.0,Morley,Plaine_1597_133_13,2,3.0,Authentic,B-,CB,1.0,B-2,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Plaine_1597_128_6,2,1.0,,,cz,,G3,P8,,0.3333333333333333,8.0,16.0,,
24.0,Morley,Plaine_1597_128_6,4,1.0,Authentic,G,tCB,1.0,G2,P1,P8,1.0,16.0,8.0,,
8.0,Morley,Plaine_1597_128_7,2,1.0,Authentic,G,tCB,1.0,G2,P1,P8,1.0,8.0,8.0,,
24.0,Morley,Plaine_1597_127_3,4,1.0,Authentic,G,tCB,1.0,G2,-P4,P5,0.42857142857142855,24.0,20.0,,
44.0,Morley,Plaine_1597_127_3,6,3.0,Clausula Vera,C,CT,1.0,C3,P1,P8,0.7857142857142857,20.0,12.0,,
56.0,Morley,Plaine_1597_127_3,8,1.0,Authentic,C,CB,1.0,C3,P1,P8,1.0,12.0,8.0,,
48.0,Not found,Morley_p_017,5,1.0,Authentic,C,CtB,1.0,C3,P4,P4,0.42857142857142855,48.0,18.0,,
66.0,Not found,Morley_p_017,6,2.0,Authentic,D,CTB,1.0,D3,P5,P5,0.5892857142857143,18.0,54.0,,
26.0,Not found,Morley_p_066-7.Duo6,4,2.0,Clausula Vera,G,CT,1.0,G4,P1,-P1,0.06770833333333333,26.0,20.0,,
46.0,Not found,Morley_p_066-7.Duo6,6,4.0,Evaded Clausula Vera,D,tC,1.0,D5,P5,-P4,0.11979166666666667,20.0,22.0,,
68.0,Not found,Morley_p_066-7.Duo6,9,3.0,Evaded Clausula Vera,G,tC,1.0,G4,P1,-P1,0.17708333333333334,22.0,44.0,,
112.0,Not found,Morley_p_066-7.Duo6,15,1.0,Evaded Clausula Vera,D,tC,1.0,D5,P5,-P4,0.2916666666666667,44.0,24.0,,
136.0,Not found,Morley_p_066-7.Duo6,18,1.0,Clausula Vera,D,CT,1.0,D5,P5,-P4,0.3541666666666667,24.0,8.0,,
144.0,Not found,Morley_p_066-7.Duo6,19,1.0,Clausula Vera,G,CT,1.0,G4,P1,-P1,0.375,8.0,12.0,,
156.0,Not found,Morley_p_066-7.Duo6,20,3.0,Evaded Clausula Vera,E,tC,1.0,E5,M6,-m3,0.40625,12.0,12.0,,
168.0,Not found,Morley_p_066-7.Duo6,22,1.0,Clausula Vera,A,CT,1.0,A4,M2,M2,0.4375,12.0,14.0,,
182.0,Not found,Morley_p_066-7.Duo6,23,4.0,Clausula Vera,G,CT,1.0,G4,P1,-P1,0.4739583333333333,14.0,6.0,,
188.0,Not found,Morley_p_066-7.Duo6,24,3.0,Authentic,D,CB,1.0,D4,-P4,-P4,0.4895833333333333,6.0,12.0,,
200.0,Not found,Morley_p_066-7.Duo6,26,1.0,Clausula Vera,D,CT,1.0,D5,P5,-P4,0.5208333333333334,12.0,52.0,,
252.0,Not found,Morley_p_066-7.Duo6,32,3.0,Evaded Clausula Vera,A,tC,1.0,A4,M2,M2,0.65625,52.0,32.0,,
284.0,Not found,Morley_p_066-7.Duo6,36,3.0,Clausula Vera,A,TC,1.0,A4,M2,M2,0.7395833333333334,32.0,14.0,,
298.0,Not found,Morley_p_066-7.Duo6,38,2.0,Clausula Vera,G,TC,1.0,G4,P1,-P1,0.7760416666666666,14.0,6.0,,
304.0,Not found,Morley_p_066-7.Duo6,39,1.0,Authentic,D,BC,1.0,D4,-P4,-P4,0.7916666666666666,6.0,12.0,,
316.0,Not found,Morley_p_066-7.Duo6,40,3.0,Clausula Vera,D,TC,1.0,D5,P5,-P4,0.8229166666666666,12.0,16.0,,
332.0,Not found,Morley_p_066-7.Duo6,42,3.0,Evaded Clausula Vera,A,tC,1.0,A4,M2,M2,0.8645833333333334,16.0,60.0,,
8.0,Morley,Plaine_1597_128_10,1,2.333333333333333,Evaded Clausula Vera,G,tC,1.0,G3,P1,P8,0.8,8.0,4.0,,
8.0,Morley,Plaine_1597_133_8,1,2.333333333333333,Authentic,A,tCB,1.0,A2,P1,P8,1.0,8.0,4.0,,
8.0,Morley,Plaine_1597_127_4,2,1.0,Evaded Clausula Vera,G,tC,1.0,G2,P1,P8,1.0,8.0,8.0,,
16.0,Morley,Plaine_1597_127_7,3,1.0,Evaded Clausula Vera,G,tC,1.0,G2,P1,P8,1.0,16.0,8.0,,
8.0,Morley,Plaine_1597_128_3,2,1.0,Authentic,G,CB,1.0,G2,P1,P8,1.0,8.0,8.0,,
28.0,Morley,Plaine_1597_128_2,4,3.0,Clausula Vera,G,CT,1.0,G2,P1,P8,1.0,28.0,4.0,,
60.0,Not found,Morley_p_064-5.Duo5,8,3.0,Evaded Authentic,B,Cu,1.0,D#3,M3,P8,0.08955223880597014,60.0,36.0,,
96.0,Not found,Morley_p_064-5.Duo5,13,1.0,Phrygian Clausula Vera,F#,CT,1.0,F#3,P5,P5,0.14328358208955225,36.0,212.0,,
308.0,Not found,Morley_p_064-5.Duo5,39,3.0,Abandoned Authentic,B,Cx,1.0,B4,P15,P8,0.4597014925373134,212.0,40.0,,
348.0,Not found,Morley_p_064-5.Duo5,44,3.0,Clausula Vera,B,TC,1.0,B3,P8,P8,0.5194029850746269,40.0,32.0,,
380.0,Not found,Morley_p_064-5.Duo5,48,3.0,Phrygian Clausula Vera,F#,CT,1.0,F#3,P5,P5,0.5671641791044776,32.0,28.0,,
408.0,Not found,Morley_p_064-5.Duo5,52,1.0,Evaded Clausula Vera,,Tc,-1.0,C#3,M2,,0.608955223880597,28.0,32.0,,
440.0,Not found,Morley_p_064-5.Duo5,56,1.0,Authentic,B,CB,1.0,B2,P1,P8,0.6567164179104478,32.0,8.0,,
448.0,Not found,Morley_p_064-5.Duo5,57,1.0,Evaded Altizans Only,,aT,-1.0,B2,P1,,0.6686567164179105,8.0,20.0,,
468.0,Not found,Morley_p_064-5.Duo5,59,3.0,Clausula Vera,B,TC,1.0,B3,P8,P8,0.6985074626865672,20.0,20.0,,
488.0,Not found,Morley_p_064-5.Duo5,62,1.0,Clausula Vera,D,CT,1.0,D3,m3,m3,0.7283582089552239,20.0,40.0,,
528.0,Not found,Morley_p_064-5.Duo5,67,1.0,Authentic,B,CB,1.0,B2,P1,P8,0.7880597014925373,40.0,90.0,,
618.0,Not found,Morley_p_064-5.Duo5,75,1.0,Authentic,B,CB,1.0,B2,P1,P8,0.9223880597014925,90.0,60.0,,
12.0,Morley,Plaine_1597_132_1,2,3.0,Authentic,D,CtB,1.0,D3,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Plaine_1597_132_2,2,3.0,Authentic,D,CtB,1.0,D3,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Plaine_1597_132_3,1,2.333333333333333,Phrygian,E,CTP,1.0,A2,P1,P5,1.0,8.0,4.0,,
8.0,Morley,Plaine_1597_132_7,1,2.333333333333333,,A,CCts,,F3,P1,M3,1.0,8.0,4.0,,
12.0,Morley,Plaine_1597_132_6,2,3.0,Authentic,F,CtB,1.0,F3,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Plaine_1597_132_4,2,3.0,Phrygian Clausula Vera,E,CT,1.0,E3,P1,P8,0.8571428571428571,12.0,4.0,,
12.0,Morley,Plaine_1597_132_10,2,3.0,Authentic,G,CTB,1.0,G2,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Plaine_1597_132_5,2,3.0,Authentic,A,tCB,1.0,A2,P1,P8,1.0,12.0,4.0,,
