,Composer,Title,Measure,Beat,CadType,Tone,CVFs,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
16.0,Not found,Plaine_1567_74_1,5,1.0,Clausula Vera,G,CT,1,G3,P1,P8,1.0,16.0,4.0,,
12.0,Not found,Plaine_1567_74_6,4,1.0,Authentic,D,CB,1,D4,P1,-P1,1.0,12.0,4.0,,
56.0,Not found,Plaine_1567_76_4,8,1.0,Clausula Vera,G,TC,1,G2,P1,P8,1.0,56.0,8.0,,
16.0,Not found,Plaine_1567_74_2,5,1.0,Altizans Only,D,AT,0,G3,P1,P5,1.0,16.0,4.0,,
16.0,Not found,Plaine_1567_74_3,5,1.0,Evaded Altizans Only,,aT,-1,G3,P1,,1.0,16.0,4.0,,
48.0,Not found,Plaine_1567_73_2,6,3.0,Clausula Vera,G,CT,1,G3,P1,P8,1.0,48.0,4.0,,
36.0,Morley,Plaine_1597_176_1b,5,3.0,Evaded Authentic,C,Cu,1,E3,M3,P8,0.46153846153846156,36.0,44.0,,
12.0,Not found,Plaine_1567_74_5,4,1.0,Altizans Only,D,AT,0,G3,P1,P5,1.0,12.0,4.0,,
12.0,Not found,Plaine_1567_74_4,4,1.0,Clausula Vera,G,CT,1,G3,P1,P8,1.0,12.0,4.0,,
56.0,Not found,Plaine_1567_76_3,8,1.0,Clausula Vera,G,CT,1,G3,P1,P8,1.0,56.0,8.0,,
48.0,Not found,Plaine_1567_76_2,7,1.0,Evaded Altizans Only,,aT,-1,G3,P1,,1.0,48.0,8.0,,
