,Sounding,CVFs,Tone,CadType,counts
0,1.0,Cx,B,Abandoned Authentic,1
1,1.0,Cz,A,Abandoned Clausula Vera,1
2,1.0,zC,A,Abandoned Clausula Vera,2
3,2.0,AT,D,Altizans Only,2
4,2.0,BC,D,Authentic,1
5,2.0,BC,E,Authentic,1
6,2.0,CB,A,Authentic,4
7,2.0,CB,B,Authentic,3
8,2.0,CB,D,Authentic,4
9,2.0,CB,E,Authentic,4
10,2.0,CB,G,Authentic,5
11,2.0,CBx,D,Authentic,1
12,2.0,CT,A,Clausula Vera,9
13,2.0,CT,B,Clausula Vera,1
14,2.0,CT,D,Clausula Vera,12
15,2.0,CT,E,Clausula Vera,3
16,2.0,CT,F#,Phrygian Clausula Vera,2
17,2.0,CT,G,Clausula Vera,9
18,2.0,Cu,B,Evaded Authentic,1
19,2.0,TC,A,Clausula Vera,9
20,2.0,TC,B,Clausula Vera,2
21,2.0,TC,C,Clausula Vera,1
22,2.0,TC,D,Clausula Vera,3
23,2.0,TC,E,Clausula Vera,4
24,2.0,TC,G,Clausula Vera,4
25,2.0,tC,A,Evaded Clausula Vera,4
26,2.0,tC,D,Evaded Clausula Vera,4
27,2.0,tC,E,Evaded Clausula Vera,1
28,2.0,tC,G,Evaded Clausula Vera,3
29,2.0,zC,G,Abandoned Clausula Vera,1
30,3.0,CB,C,Authentic,2
31,3.0,CB,F,Authentic,1
32,3.0,CB,G,Authentic,2
33,3.0,CBx,G,Authentic,1
34,3.0,CT,C,Clausula Vera,4
35,3.0,CT,D,Clausula Vera,3
36,3.0,CT,D,Phrygian Clausula Vera,1
37,3.0,CT,G,Clausula Vera,4
38,3.0,CtB,F,Authentic,1
39,3.0,CtxB,A,Authentic,1
40,3.0,Cx,A,Abandoned Authentic,1
41,3.0,TC,G,Clausula Vera,1
42,3.0,TCB,A,Authentic,1
43,3.0,TCB,D,Authentic,2
44,3.0,TCB,G,Authentic,4
45,3.0,TCBx,G,Authentic,1
46,3.0,TzC,G,Clausula Vera,1
47,3.0,tBC,A,Authentic,1
48,3.0,tC,C,Evaded Clausula Vera,2
49,3.0,tC,D,Evaded Clausula Vera,1
50,3.0,tC,G,Evaded Clausula Vera,7
51,3.0,tCB,B-,Authentic,1
52,3.0,tCB,F,Authentic,2
53,3.0,tCB,G,Authentic,4
54,3.0,zC,G,Abandoned Clausula Vera,1
55,3.0,zCB,G,Authentic,1
56,4.0,CB,B-,Authentic,1
57,4.0,CB,D,Authentic,1
58,4.0,CB,G,Authentic,2
59,4.0,CT,A,Clausula Vera,4
60,4.0,CT,A,Phrygian Clausula Vera,1
61,4.0,CT,B-,Clausula Vera,1
62,4.0,CT,C,Clausula Vera,1
63,4.0,CT,D,Clausula Vera,10
64,4.0,CT,D,Phrygian Clausula Vera,4
65,4.0,CT,E,Phrygian Clausula Vera,2
66,4.0,CT,F,Clausula Vera,1
67,4.0,CT,G,Clausula Vera,5
68,4.0,CTB,A,Authentic,1
69,4.0,CTB,B-,Authentic,1
70,4.0,CTB,C,Authentic,1
71,4.0,CTB,D,Authentic,1
72,4.0,CTB,F,Authentic,2
73,4.0,CTB,G,Authentic,5
74,4.0,CTBx,D,Authentic,1
75,4.0,CTP,E,Phrygian,1
76,4.0,CTu,G,Clausula Vera,1
77,4.0,CtB,C,Authentic,1
78,4.0,CtB,D,Authentic,5
79,4.0,CtB,F,Authentic,1
80,4.0,CtB,G,Authentic,2
81,4.0,CuTB,G,Authentic,1
82,4.0,TC,A,Clausula Vera,1
83,4.0,TC,G,Clausula Vera,2
84,4.0,TCB,G,Authentic,2
85,4.0,tC,D,Evaded Clausula Vera,4
86,4.0,tC,G,Evaded Clausula Vera,11
87,4.0,tCB,A,Authentic,2
88,4.0,tCB,B-,Authentic,2
89,4.0,tCB,D,Authentic,1
90,4.0,tCT,G,Clausula Vera,1
91,5.0,CB,C,Authentic,1
92,5.0,CB,D,Authentic,1
93,5.0,CQT,B-,Clausula Vera,1
94,5.0,CT,G,Clausula Vera,1
95,5.0,CTB,C,Authentic,1
96,5.0,CTB,D,Authentic,2
97,5.0,CTB,G,Authentic,3
98,5.0,CtB,G,Authentic,1
99,5.0,tCB,B-,Authentic,1
100,5.0,tCT,D,Clausula Vera,1
101,5.0,tCTB,C,Authentic,1
102,5.0,tCuB,C,Authentic,1
