,Composer,Title,Measure,Beat,CadType,Tone,CVFs,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
8.0,Morley,Plaine_1597_127_4,2,1.0,Evaded Clausula Vera,G,tC,1.0,G2,P1,P8,1.0,8.0,8.0,,
8.0,Morley,Plaine_1597_128_3,2,1.0,Authentic,G,CB,1.0,G2,P1,P8,1.0,8.0,8.0,,
28.0,Morley,Plaine_1597_128_2,4,3.0,Clausula Vera,G,CT,1.0,G2,P1,P8,1.0,28.0,4.0,,
8.0,Morley,Plaine_1597_128_8,1,2.333333333333333,Evaded Clausula Vera,G,tC,1.0,G3,P1,P8,0.13333333333333333,8.0,24.0,,
32.0,Morley,Plaine_1597_128_8,3,2.333333333333333,Evaded Clausula Vera,G,tC,1.0,G3,P1,P8,0.5333333333333333,24.0,12.0,,
44.0,Morley,Plaine_1597_128_8,4,2.333333333333333,Abandoned Clausula Vera,G,zC,1.0,G3,P1,P8,0.7333333333333333,12.0,16.0,,
60.0,Morley,Plaine_1597_128_8,6,3.0,Evaded Clausula Vera,G,tC,1.0,G3,P1,P8,1.0,16.0,4.0,,
12.0,Morley,Plaine_1597_129_1,2,3.0,Clausula Vera,C,CT,1.0,C3,P1,P8,1.0,12.0,4.0,,
16.0,Morley,Plaine_1597_129_6,3,1.0,Authentic,G,CB,1.0,G3,P1,P8,1.0,16.0,8.0,,
24.0,Morley,Plaine_1597_127_3,4,1.0,Authentic,G,tCB,1.0,G2,-P4,P5,0.42857142857142855,24.0,20.0,,
44.0,Morley,Plaine_1597_127_3,6,3.0,Clausula Vera,C,CT,1.0,C3,P1,P8,0.7857142857142857,20.0,12.0,,
56.0,Morley,Plaine_1597_127_3,8,1.0,Authentic,C,CB,1.0,C3,P1,P8,1.0,12.0,8.0,,
8.0,Morley,Plaine_1597_129_2,2,1.0,Clausula Vera,C,CT,1.0,C3,P1,P8,1.0,8.0,8.0,,
12.0,Morley,Plaine_1597_129_3,2,3.0,Evaded Clausula Vera,C,tC,1.0,C3,P1,P8,1.0,12.0,4.0,,
16.0,Morley,Plaine_1597_127_7,3,1.0,Evaded Clausula Vera,G,tC,1.0,G2,P1,P8,1.0,16.0,8.0,,
8.0,Morley,Plaine_1597_129_5,2,1.0,Clausula Vera,C,CT,1.0,C3,P1,P8,1.0,8.0,8.0,,
12.0,Morley,Plaine_1597_129_4,2,3.0,Authentic,C,CB,1.0,C3,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Plaine_1597_128_7,2,1.0,Authentic,G,tCB,1.0,G2,P1,P8,1.0,8.0,8.0,,
8.0,Morley,Plaine_1597_128_6,2,1.0,,,cz,,G3,P8,,0.3333333333333333,8.0,16.0,,
24.0,Morley,Plaine_1597_128_6,4,1.0,Authentic,G,tCB,1.0,G2,P1,P8,1.0,16.0,8.0,,
