PIECE ID,PHRASE ID,Phrase Start,Phrase Stop,Text,Rhyme,Column7,Column8,Column9,Column10,Column11,Column12
DC0101,1,,,Qui souhaitez avoir tout le plaisir,a,,,,,,
DC0101,2,,,Qu'un amy peult vouloir honnestement,b,,,,,,
DC0101,3,,,Prenez exemple à mon chaste desir,a,,,,,,
DC0101,4,,,Et vous mirez en mon contentement.,b,,,,,,
DC0101,5,,,Mais qui vouldroit audacieusement,b,,,,,,
DC0101,6,,,"Voler au ciel, ou mon amour se tient",c,,,,,,
DC0101,7,,,"On luy diroit, aymez humainement.",b,,,,,,
DC0101,8,,,C'est au soleil que la lune appartient.,c,,,,,,
DC0102,1,,,"Venons au poinct ma dame s'il vous plaist,",a,,,,,,
DC0102,2,,,Il en est temps sans plus tant marchander.,b,,,,,,
DC0102,3,,,Le doy je prendre ou le vous demander ?,b,,,,,,
DC0102,4,,,"Dictes l'ouy, car le non me desplaist.",a,,,,,,
DC0102,5,,,Or faictes donc s'il vous plaist mon bel amy,c,,,,,,
DC0102,6,,,L'ouy valoir et le non se retire.,d,,,,,,
DC0102,7,,,"Vous souffrez mal, et moy un grand martyre",d,,,,,,
DC0102,8,,,C'est couardise que nous sert d'ennemy.,c,,,,,,
DC0103,1,,,"O combien je suis suis fortuné,",a,,,,,,
DC0103,2,,,De servir maistresse si belle,b,,,,,,
DC0103,3,,,Pourquoy ne m'est predestiné,a,,,,,,
DC0103,4,,,Le bien que son mary a d'elle.,b,,,,,,
DC0103,5,,,Elle est doulce et luy rebelle.,b,,,,,,
DC0103,6,,,"N'est ce pas grande cruauté,",c,,,,,,
DC0103,7,,,Qu'elle vit en peine telle,b,,,,,,
DC0103,8,,,Sans secourir ma loyauté ?,c,,,,,,
DC0104,1,,,"Cherchant amour, Hymen vint apparoistre",a,,,,,,
DC0104,2,,,"Devant mes yeulx avecques chasteté,",b,,,,,,
DC0104,3,,,"Disant amy, pour donner à cognoistre",a,,,,,,
DC0104,4,,,De vraye amour le seure fermeté.,b,,,,,,
DC0104,5,,,En Cupido ne te tient arresté.,b,,,,,,
DC0104,6,,,Une sans plus de loyauté munie,c,,,,,,
DC0104,7,,,Aymer tu doibs de chaste volunté,b,,,,,,
DC0104,8,,,Pour à jamais mener heureuse vie.,c,,,,,,
DC0105,1,,,"Cest œil mignon, ce visage poly,",a,,,,,,
DC0105,2,,,"Ce corps bien faict, ceste tant bonne grace,",b,,,,,,
DC0105,3,,,"Cest entretien et devis tant joly,",a,,,,,,
DC0105,4,,,Las que font ilz en ceste terre basse ?,b,,,,,,
DC0105,5,,,Que c'est qu'ilz font ? Chascun d'entr'eulx pourchasse,b,,,,,,
DC0105,6,,,"Un serviteur, pour servir à la belle.",c,,,,,,
DC0105,7,,,Mais je sçay bien qu'elle leur est cruelle.,c,,,,,,
DC0105,8,,,Et les chassant m'a dict qu'elle dira :,d,,,,,,
DC0105,9,,,"Retirez vous, j'ay un amy fidele,",c,,,,,,
DC0105,10,,,Mieulx que nous tous luy seul me servira.,d,,,,,,
DC0106,1,,,"L'enfant Amour n'a plus son arc estrange,",a,,,,,,
DC0106,2,,,Dont il blessoit d’hommes et cueurs et testes.,b,,,,,,
DC0106,3,,,"Avec celuy de Diane a faict change,",a,,,,,,
DC0106,4,,,Dont elle alloit aux champs faire les questes.,b,,,,,,
DC0106,5,,,"Ilz ont changé, n’en faictes plus d’enquestes,",b,,,,,,
DC0106,6,,,Et si on dict : « A quoy le cognois-tu ? »,c,,,,,,
DC0106,7,,,Je voy qu’Amour chasse souvent aux bestes,b,,,,,,
DC0106,8,,,Et qu’elle attainct les hommes de vertu.,c,,,,,,
DC0107,1,,,La volunté si longtemps endormie,a,,,,,,
DC0107,2,,,S'esveillera si j'ay ce que je pense,b,,,,,,
DC0107,3,,,"Je sens au cœur que la flamme amortie,",a,,,,,,
DC0107,4,,,"Ou feu couvert rend sa chaleur plus forte,",b,,,,,,
DC0107,5,,,"La descouvrant la mienne ensevelie,",a,,,,,,
DC0107,6,,,Vive sera pour n'estre jamais morte.,b,,,,,,
DC0108,1,,,"Vive sera pour jamais n'estre morte,",a,,,,,,
DC0108,2,,,"Dans le secret d’un plus hault souvenir,",b,,,,,,
DC0108,3,,,Bruslant tousjours par plus subtile sorte,a,,,,,,
DC0108,4,,,L’affection de mon bien advenir.,b,,,,,,
DC0108,5,,,"Ce qu’advenant, je pourray devenir",b,,,,,,
DC0108,6,,,"Le seul content de moy et de m’amye,",c,,,,,,
DC0108,7,,,En resveillant pour plustost parvenir,b,,,,,,
DC0108,8,,,La volonté si longtemps endormie.,c,,,,,,
DC0109,1,,,"Mars et Amour font ensemble alliance,",a,,,,,,
DC0109,2,,,Et ont changé de puissances et armes.,b,,,,,,
DC0109,3,,,"Mars a quitté sa tant cruelle lance,",a,,,,,,
DC0109,4,,,Dont se servoit aux mortelles allarmes.,b,,,,,,
DC0109,5,,,"Ilz sont tous deux de volunté si fermes,",b,,,,,,
DC0109,6,,,Que l'un ne peult rien sans l'autre entreprendre.,c,,,,,,
DC0109,7,,,"Quand l'arc d'Amour le fier Mars vient destendre,",c,,,,,,
DC0109,8,,,Du premier coup il rend l'homme amoureux.,d,,,,,,
DC0109,9,,,"Et quand Amour vient pour la picque prendre,",c,,,,,,
