,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
48.0,Morley,Morley_1597_017,5,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CtB,1.0,4.0,C3,P4,P4,0.42857142857142855,48.0,18.0,,
66.0,Morley,Morley_1597_017,6,2.0,BC1,^BC(1|3)x?z?$,Authentic,D,CTB,1.0,4.0,D3,P5,P5,0.5892857142857143,18.0,54.0,,
328.0,Morley,Morley_1597_056-57,42,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,2.0,D4,P5,P5,0.6949152542372882,28.0,28.0,,
457.0,Morley,Morley_1597_056-57,58,1.5,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,0.9682203389830508,5.0,15.0,,
452.0,Morley,Morley_1597_056-57,57,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.9576271186440678,36.0,5.0,,
416.0,Morley,Morley_1597_056-57,53,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,0.8813559322033898,15.0,36.0,,
401.0,Morley,Morley_1597_056-57,51,1.5,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,0.8495762711864406,5.0,15.0,,
396.0,Morley,Morley_1597_056-57,50,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.8389830508474576,40.0,5.0,,
356.0,Morley,Morley_1597_056-57,45,3.0,BC1,^BC(1|3)x?z?$,Authentic,A,CB,1.0,2.0,A3,M2,M2,0.7542372881355932,28.0,40.0,,
300.0,Morley,Morley_1597_056-57,38,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.635593220338983,72.0,28.0,,
228.0,Morley,Morley_1597_056-57,29,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,0.4830508474576271,16.0,72.0,,
212.0,Morley,Morley_1597_056-57,27,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.4491525423728814,32.0,16.0,,
180.0,Morley,Morley_1597_056-57,23,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,1.0,2.0,A4,M9,M2,0.3813559322033898,12.0,32.0,,
44.0,Morley,Morley_1597_056-57,6,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.09322033898305085,44.0,20.0,,
64.0,Morley,Morley_1597_056-57,9,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,0.13559322033898305,20.0,28.0,,
92.0,Morley,Morley_1597_056-57,12,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,2.0,D4,P5,P5,0.19491525423728814,28.0,48.0,,
140.0,Morley,Morley_1597_056-57,18,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,2.0,G4,P8,P8,0.2966101694915254,48.0,16.0,,
156.0,Morley,Morley_1597_056-57,20,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,2.0,D4,P5,P5,0.3305084745762712,16.0,10.0,,
472.0,Morley,Morley_1597_056-57,60,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,1.0,15.0,8.0,,
166.0,Morley,Morley_1597_056-57,21,4.0,T-2c-1,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,2.0,B3,M3,,0.3516949152542373,10.0,2.0,,
168.0,Morley,Morley_1597_056-57,22,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,0.3559322033898305,2.0,12.0,,
116.0,Morley,Morley_1597_058-59,15,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,2.0,G4,P8,P8,0.26851851851851855,8.0,76.0,,
432.0,Morley,Morley_1597_058-59,55,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,1.0,16.0,8.0,,
416.0,Morley,Morley_1597_058-59,53,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.9629629629629629,14.0,16.0,,
402.0,Morley,Morley_1597_058-59,51,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.9305555555555556,12.0,14.0,,
390.0,Morley,Morley_1597_058-59,49,4.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M9,M2,0.9027777777777778,10.0,12.0,,
