,Composer,Title,Measure,Beat,CadType,Tone,CVFs,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
28.0,Pierre Colin,Missa Confitemini: Kyrie,4,3.0,Clausula Vera,D,CT,0.0,D3,-P4,P5,0.11864406779661017,28.0,12.0,,
40.0,Pierre Colin,Missa Confitemini: Kyrie,6,1.0,Authentic,D,TCB,0.0,D3,-P4,P5,0.1694915254237288,12.0,16.0,,
56.0,Pierre Colin,Missa Confitemini: Kyrie,8,1.0,Authentic,D,CB,0.0,B-3,m3,P5,0.23728813559322035,16.0,16.0,,
72.0,Pierre Colin,Missa Confitemini: Kyrie,10,1.0,Authentic,G,CTB,1.0,G3,P1,P8,0.3050847457627119,16.0,56.0,,
128.0,Pierre Colin,Missa Confitemini: Kyrie,16,1.0,Authentic,G,CB,0.0,G3,P1,P8,0.5423728813559322,56.0,8.0,,
136.0,Pierre Colin,Missa Confitemini: Kyrie,17,1.0,Clausula Vera,G,TC,0.0,G3,P1,P8,0.576271186440678,8.0,8.0,,
144.0,Pierre Colin,Missa Confitemini: Kyrie,18,1.0,Authentic,D,CTB,0.0,D3,-P4,P5,0.6101694915254238,8.0,48.0,,
192.0,Pierre Colin,Missa Confitemini: Kyrie,23,1.0,Clausula Vera,G,CT,1.0,G3,P1,P8,0.8135593220338984,48.0,16.0,,
208.0,Pierre Colin,Missa Confitemini: Kyrie,25,1.0,Clausula Vera,G,TC,0.0,G3,P1,P8,0.8813559322033898,16.0,28.0,,
236.0,Pierre Colin,Missa Confitemini: Kyrie,28,3.0,Authentic,G,CTB,1.0,G3,P1,P8,1.0,28.0,16.0,,
24.0,Pierre Colin,Missa Confitemini: Gloria,4,1.0,Clausula Vera,D,CT,0.0,D3,-P4,P5,0.03592814371257485,24.0,20.0,,
44.0,Pierre Colin,Missa Confitemini: Gloria,6,3.0,,G,CuTx,,G3,P1,P8,0.0658682634730539,20.0,24.0,,
68.0,Pierre Colin,Missa Confitemini: Gloria,9,3.0,Clausula Vera,B-,CTx,1.0,B-3,m3,m3,0.10179640718562874,24.0,36.0,,
104.0,Pierre Colin,Missa Confitemini: Gloria,14,1.0,Authentic,G,CuTB,1.0,G3,P1,P8,0.15568862275449102,36.0,72.0,,
176.0,Pierre Colin,Missa Confitemini: Gloria,23,1.0,Clausula Vera,D,CT,1.0,D3,-P4,P5,0.2634730538922156,72.0,20.0,,
196.0,Pierre Colin,Missa Confitemini: Gloria,25,3.0,Authentic,G,TCB,1.0,G3,P1,P8,0.2934131736526946,20.0,40.0,,
236.0,Pierre Colin,Missa Confitemini: Gloria,30,3.0,Evaded Authentic,B-,CuTx,1.0,B-3,m3,m3,0.3532934131736527,40.0,28.0,,
264.0,Pierre Colin,Missa Confitemini: Gloria,34,1.0,Clausula Vera,D,CT,1.0,D3,-P4,P5,0.39520958083832336,28.0,4.0,,
268.0,Pierre Colin,Missa Confitemini: Gloria,34,3.0,,G,Cxx,,G4,P8,P8,0.40119760479041916,4.0,12.0,,
280.0,Pierre Colin,Missa Confitemini: Gloria,36,1.0,Authentic,G,TCB,1.0,G3,P1,P8,0.41916167664670656,12.0,28.0,,
308.0,Pierre Colin,Missa Confitemini: Gloria,39,3.0,Clausula Vera,D,CT,1.0,D3,-P4,P5,0.46107784431137727,28.0,28.0,,
336.0,Pierre Colin,Missa Confitemini: Gloria,43,1.0,Evaded Clausula Vera,G,zC,1.0,G3,P1,P8,0.5029940119760479,28.0,32.0,,
368.0,Pierre Colin,Missa Confitemini: Gloria,47,1.0,Authentic,G,CxTB,1.0,G3,P1,P8,0.5508982035928144,32.0,28.0,,
396.0,Pierre Colin,Missa Confitemini: Gloria,50,3.0,Authentic,D,tCB,1.0,D3,-P4,P5,0.592814371257485,28.0,16.0,,
412.0,Pierre Colin,Missa Confitemini: Gloria,53,1.0,Authentic,D,CTB,1.0,D4,P5,P5,0.6167664670658682,16.0,120.0,,
