,Composer,Title,Measure,Beat,CadType,Tone,CVFs,LeadingTones,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
76.0,Ludwig Senfl,"Ave, maria",10,3.0,Evaded Clausula Vera,C,tC,1.0,C4,P8,P8,0.027065527065527065,76.0,176.0,,
252.0,Ludwig Senfl,"Ave, maria",32,3.0,Clausula Vera,G,CT,1.0,G3,P5,P5,0.08974358974358974,176.0,12.0,,
264.0,Ludwig Senfl,"Ave, maria",34,1.0,Authentic,C,CSTB,1.0,C3,P1,P8,0.09401709401709402,12.0,72.0,,
336.0,Ludwig Senfl,"Ave, maria",43,1.0,Clausula Vera,C,CT,1.0,F3,P4,P8,0.11965811965811966,72.0,8.0,,
344.0,Ludwig Senfl,"Ave, maria",44,1.0,Clausula Vera,C,CT,1.0,C3,P1,P8,0.1225071225071225,8.0,4.0,,
348.0,Ludwig Senfl,"Ave, maria",44,3.0,Evaded Authentic,F,Cb,1.0,D3,M2,P4,0.12393162393162394,4.0,8.0,,
356.0,Ludwig Senfl,"Ave, maria",45,3.0,Evaded Clausula Vera,F,tC,1.0,F3,P4,P4,0.1267806267806268,8.0,8.0,,
364.0,Ludwig Senfl,"Ave, maria",46,3.0,Evaded Clausula Vera,C,tC,1.0,C3,P1,P8,0.12962962962962962,8.0,36.0,,
400.0,Ludwig Senfl,"Ave, maria",51,1.0,Authentic,F,CTtB,1.0,F3,P4,P4,0.14245014245014245,36.0,24.0,,
424.0,Ludwig Senfl,"Ave, maria",54,1.0,Clausula Vera,G,CT,1.0,G2,-P4,P5,0.150997150997151,24.0,32.0,,
456.0,Ludwig Senfl,"Ave, maria",58,1.0,Clausula Vera,G,CT,1.0,C3,P1,P5,0.1623931623931624,32.0,88.0,,
544.0,Ludwig Senfl,"Ave, maria",69,1.0,Clausula Vera,C,tCT,1.0,C4,P8,P8,0.19373219373219372,88.0,48.0,,
592.0,Ludwig Senfl,"Ave, maria",75,1.0,Clausula Vera,C,CT,1.0,C3,P1,P8,0.21082621082621084,48.0,16.0,,
608.0,Ludwig Senfl,"Ave, maria",77,1.0,Phrygian Clausula Vera,E,CT,1.0,E3,M3,M3,0.21652421652421652,16.0,4.0,,
612.0,Ludwig Senfl,"Ave, maria",77,3.0,Authentic,A,CtB,0.0,A2,-m3,M6,0.21794871794871795,4.0,164.0,,
776.0,Ludwig Senfl,"Ave, maria",98,1.0,Altizans Only,C,ATQ,1.0,A3,M6,P8,0.27635327635327633,164.0,16.0,,
792.0,Ludwig Senfl,"Ave, maria",100,1.0,Authentic,F,TCB,1.0,F3,P4,P4,0.28205128205128205,16.0,16.0,,
808.0,Ludwig Senfl,"Ave, maria",102,1.0,Authentic,F,TCB,1.0,F3,P4,P4,0.28774928774928776,16.0,168.0,,
976.0,Ludwig Senfl,"Ave, maria",123,1.0,Clausula Vera,C,CT,1.0,C4,P8,P8,0.3475783475783476,168.0,48.0,,
1024.0,Ludwig Senfl,"Ave, maria",129,1.0,Authentic,C,CtTB,1.0,C3,P1,P8,0.3646723646723647,48.0,16.0,,
1040.0,Ludwig Senfl,"Ave, maria",131,1.0,Altizans Only,C,AQbT,1.0,F3,P4,P8,0.37037037037037035,16.0,64.0,,
1104.0,Ludwig Senfl,"Ave, maria",139,1.0,Evaded Authentic,G,CTub,1.0,E3,M3,P5,0.39316239316239315,64.0,24.0,,
1128.0,Ludwig Senfl,"Ave, maria",142,1.0,Clausula Vera,G,tCT,1.0,G2,-P4,P5,0.4017094017094017,24.0,52.0,,
1180.0,Ludwig Senfl,"Ave, maria",148,3.0,Authentic,C,CTtB,1.0,C3,P1,P8,0.4202279202279202,52.0,28.0,,
1208.0,Ludwig Senfl,"Ave, maria",152,1.0,Authentic,C,CtTB,1.0,C3,P1,P8,0.4301994301994302,28.0,8.0,,
1216.0,Ludwig Senfl,"Ave, maria",153,1.0,Evaded Authentic,G,Cb,1.0,E3,M3,P5,0.43304843304843305,8.0,32.0,,
1248.0,Ludwig Senfl,"Ave, maria",157,1.0,Authentic,C,CtB,1.0,C3,P1,P8,0.4444444444444444,32.0,8.0,,
1256.0,Ludwig Senfl,"Ave, maria",158,1.0,Evaded Authentic,G,Cb,1.0,E3,M3,P5,0.4472934472934473,8.0,16.0,,
1272.0,Ludwig Senfl,"Ave, maria",160,1.0,Evaded Authentic,C,Cb,1.0,A3,M6,P8,0.452991452991453,16.0,32.0,,
1304.0,Ludwig Senfl,"Ave, maria",164,1.0,Evaded Authentic,C,CuTx,1.0,C4,P8,P8,0.46438746438746437,32.0,40.0,,
1344.0,Ludwig Senfl,"Ave, maria",169,1.0,Clausula Vera,C,tCT,1.0,C3,P1,P8,0.47863247863247865,40.0,32.0,,
1376.0,Ludwig Senfl,"Ave, maria",173,1.0,,C,CbtB,,C3,P1,P8,0.49002849002849,32.0,44.0,,
1420.0,Ludwig Senfl,"Ave, maria",178,3.0,Authentic,G,CB,0.0,G3,P5,P5,0.5056980056980057,44.0,12.0,,
1432.0,Ludwig Senfl,"Ave, maria",180,1.0,Clausula Vera,G,TC,1.0,E4,M10,P5,0.50997150997151,12.0,36.0,,
1468.0,Ludwig Senfl,"Ave, maria",184,3.0,Clausula Vera,D,CT,0.0,D3,M2,M2,0.5227920227920227,36.0,68.0,,
1536.0,Ludwig Senfl,"Ave, maria",193,1.0,Authentic,A,CTB,0.0,A2,-m3,M6,0.5470085470085471,68.0,48.0,,
1584.0,Ludwig Senfl,"Ave, maria",199,1.0,Clausula Vera,G,CTx,1.0,B3,M7,P5,0.5641025641025641,48.0,48.0,,
1632.0,Ludwig Senfl,"Ave, maria",205,1.0,Authentic,C,tCB,1.0,C3,P1,P8,0.5811965811965812,48.0,52.0,,
1684.0,Ludwig Senfl,"Ave, maria",211,3.0,,G,CTP,,C3,P1,P5,0.5997150997150997,52.0,44.0,,
1728.0,Ludwig Senfl,"Ave, maria",217,1.0,Authentic,C,CtTB,1.0,C3,P1,P8,0.6153846153846154,44.0,500.0,,
2228.0,Ludwig Senfl,"Ave, maria",258,3.0,Clausula Vera,G,TC,0.0,G3,P5,P5,0.7934472934472935,500.0,524.0,,
2752.0,Ludwig Senfl,"Ave, maria",324,1.0,Authentic,A,CTB,0.0,A2,-m3,M6,0.98005698005698,524.0,72.0,,
188.0,Josquin Des Prés,Ave Maria,24,3.0,Evaded Authentic,G,TCb,1.0,E3,M3,P5,0.14596273291925466,188.0,44.0,,
232.0,Josquin Des Prés,Ave Maria,30,1.0,Evaded Authentic,C,CuTb,1.0,A2,-m3,P8,0.18012422360248448,44.0,40.0,,
272.0,Josquin Des Prés,Ave Maria,35,1.0,Phrygian Clausula Vera,E,CT,1.0,E4,M10,M3,0.2111801242236025,40.0,32.0,,
304.0,Josquin Des Prés,Ave Maria,39,1.0,Phrygian Clausula Vera,E,ACT,1.0,E3,M3,M3,0.2360248447204969,32.0,112.0,,
416.0,Josquin Des Prés,Ave Maria,53,1.0,Authentic,C,CTB,1.0,C3,P1,P8,0.32298136645962733,112.0,56.0,,
472.0,Josquin Des Prés,Ave Maria,60,1.0,Authentic,C,CTB,1.0,C3,P1,P8,0.36645962732919257,56.0,40.0,,
512.0,Josquin Des Prés,Ave Maria,65,1.0,Clausula Vera,C,tCT,1.0,C3,P1,P8,0.39751552795031053,40.0,96.0,,
608.0,Josquin Des Prés,Ave Maria,77,1.0,Authentic,C,CTB,1.0,C3,P1,P8,0.4720496894409938,96.0,32.0,,
640.0,Josquin Des Prés,Ave Maria,81,1.0,Clausula Vera,G,TC,1.0,C3,P1,P5,0.4968944099378882,32.0,24.0,,
664.0,Josquin Des Prés,Ave Maria,84,1.0,Clausula Vera,G,TC,1.0,G3,P5,P5,0.515527950310559,24.0,24.0,,
688.0,Josquin Des Prés,Ave Maria,87,1.0,Phrygian Clausula Vera,E,TC,1.0,E4,M10,M3,0.5341614906832298,24.0,48.0,,
736.0,Josquin Des Prés,Ave Maria,93,1.0,Clausula Vera,C,CT,1.0,C3,P1,P8,0.5714285714285714,48.0,192.0,,
928.0,Josquin Des Prés,Ave Maria,109,1.0,Authentic,C,CTB,1.0,C3,P1,P8,0.7204968944099379,192.0,80.0,,
1008.0,Josquin Des Prés,Ave Maria,119,1.0,Clausula Vera,G,TC,1.0,G3,P5,P5,0.782608695652174,80.0,64.0,,
