,Emblem_ID,Emblem_Motto,Publication_Date,Iconclass_Heading_1,Iconclass_Heading_2,Iconclass_Heading_3,Iconclass_Heading_4,Iconclass_Heading_5,Iconclass_Heading_6,Iconclass_Heading_7,Published_In,URL_for_Book_Details,iconclasses,is_animal
0,E000913,In pace quae belli sunt.,1617,"25F23(FOX)(+535) beasts of prey, predatory animals: fox (+ sitting animal)",25F24(BOAR)(+5211) hoofed animals: boar (+ walking animal),25G3 trees,"45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",45A132 preparation for war,54D1(+4) Preparation (+ emblematical representation of concept),emblematapolitic00isel,http://emblematica.library.illinois.edu/detail/book/emblematapolitic00isel,"['25F23(FOX)(+535) beasts of prey, predatory animals: fox (+ sitting animal)', '25F24(BOAR)(+5211) hoofed animals: boar (+ walking animal)', '25G3 trees', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '45A132 preparation for war', '54D1(+4) Preparation (+ emblematical representation of concept)']",True
23,E010938,In Bello Prudentia Opus.,1700,"86(IN BELLO PRUDENTIA OPUS) proverbs, sayings, etc. (IN BELLO PRUDENTIA OPUS)",41A12 castle,"61F(SCHLOSS BIRKENFELD) names of historical buildings, sites, streets, etc. (SCHLOSS BIRKENFELD)",61E(BIRKENFELD KREIS BIRKENFELD) names of cities and villages (BIRKENFELD KREIS BIRKENFELD),"43C13(+4241) fowling, fowler (+ hunting with falcon, hawk; falconry)",25F33(FALCON)(+51) predatory birds: falcon (+ fighting animals; aggressive relations),25F37(HERON)(+51) shore-birds and wading-birds: heron (+ fighting animals; aggressive relations),659008459,http://emblematica.library.illinois.edu/detail/book/659008459,"['86(IN BELLO PRUDENTIA OPUS) proverbs, sayings, etc. (IN BELLO PRUDENTIA OPUS)', '41A12 castle', '61F(SCHLOSS BIRKENFELD) names of historical buildings, sites, streets, etc. (SCHLOSS BIRKENFELD)', '61E(BIRKENFELD KREIS BIRKENFELD) names of cities and villages (BIRKENFELD KREIS BIRKENFELD)', '43C13(+4241) fowling, fowler (+ hunting with falcon, hawk; falconry)', '25F33(FALCON)(+51) predatory birds: falcon (+ fighting animals; aggressive relations)', '25F37(HERON)(+51) shore-birds and wading-birds: heron (+ fighting animals; aggressive relations)']",True
24,E011084,Patribus Respublica Curae Est.,1700,"86(PATRIBUS RESPUBLICA CURAE EST) proverbs, sayings, etc. (PATRIBUS RESPUBLICA CURAE EST)",25I1 city-view in general; 'veduta',61E(ROTENBURG AN DER FULDA) names of cities and villages (ROTENBURG AN DER FULDA),"44B1 ruler, sovereign",25F33(EAGLE) predatory birds: eagle,44B191 crown (symbol of sovereignty),45C13(SWORD) hacking and thrusting weapons: sword,659008459,http://emblematica.library.illinois.edu/detail/book/659008459,"['86(PATRIBUS RESPUBLICA CURAE EST) proverbs, sayings, etc. (PATRIBUS RESPUBLICA CURAE EST)', ""25I1 city-view in general; 'veduta'"", '61E(ROTENBURG AN DER FULDA) names of cities and villages (ROTENBURG AN DER FULDA)', '44B1 ruler, sovereign', '25F33(EAGLE) predatory birds: eagle', '44B191 crown (symbol of sovereignty)', '45C13(SWORD) hacking and thrusting weapons: sword']",True
27,E011171,Bellum Vel Feris Perniciosum Est.,1700,"86(BELLUM VEL FERIS PERNICIOSUM EST) proverbs, sayings, etc. (BELLUM VEL FERIS PERNICIOSUM EST)","11P3151 abbey, monastery, convent ~ Roman Catholic church",25F25(ELEPHANT) trunked animals: elephant,25F24(RHINOCEROS) hoofed animals: rhinoceros,"54BB31 Damage, Disservice; 'Danno' (Ripa)","54BB11 Misuse, Misemployment",45C10 'Arme' (Ripa),659008459,http://emblematica.library.illinois.edu/detail/book/659008459,"['86(BELLUM VEL FERIS PERNICIOSUM EST) proverbs, sayings, etc. (BELLUM VEL FERIS PERNICIOSUM EST)', '11P3151 abbey, monastery, convent ~ Roman Catholic church', '25F25(ELEPHANT) trunked animals: elephant', '25F24(RHINOCEROS) hoofed animals: rhinoceros', ""54BB31 Damage, Disservice; 'Danno' (Ripa)"", '54BB11 Misuse, Misemployment', ""45C10 'Arme' (Ripa)""]",True
30,E013761,Turbata Delectat.,1605,"86(TURBATA DELECTAT) proverbs, sayings, etc. (TURBATA DELECTAT)","25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)",25H212 brook,"45A10 symbols, allegories of war; 'Guerra' (Ripa)","51DD1 Disorder, Confusion, Derangement, Disorganization, Chaos",,,66453631X,http://emblematica.library.illinois.edu/detail/book/66453631X,"['86(TURBATA DELECTAT) proverbs, sayings, etc. (TURBATA DELECTAT)', '25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)', '25H212 brook', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '51DD1 Disorder, Confusion, Derangement, Disorganization, Chaos']",True
31,E013989,Belli Discrimina Ubique.,1605,"86(BELLI DISCRIMINA UBIQUE) proverbs, sayings, etc. (BELLI DISCRIMINA UBIQUE)",25F63(SEA-EEL)(+51) eels: sea-eel (+ fighting animals; aggressive relations),25F72(OCTOPUS)(+51) molluscs: octopus (+ fighting animals; aggressive relations),"45A10 symbols, allegories of war; 'Guerra' (Ripa)",54DD51 Danger; 'Pericolo' (Ripa),,,66453631X,http://emblematica.library.illinois.edu/detail/book/66453631X,"['86(BELLI DISCRIMINA UBIQUE) proverbs, sayings, etc. (BELLI DISCRIMINA UBIQUE)', '25F63(SEA-EEL)(+51) eels: sea-eel (+ fighting animals; aggressive relations)', '25F72(OCTOPUS)(+51) molluscs: octopus (+ fighting animals; aggressive relations)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""54DD51 Danger; 'Pericolo' (Ripa)""]",True
33,E015471,Friede ernährt.,1695,"25F23(LION) beasts of prey, predatory animals: lion","25F23(WOLF) beasts of prey, predatory animals: wolf",31D15 adult woman,"44A51(ETRURIA) personifications of countries, nations, states, districts, etc. (ETRURIA)","45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)","45A232 peace and prosperity, 'Pax et Abundantia'",devisesetembleme00augs,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00augs,"['25F23(LION) beasts of prey, predatory animals: lion', '25F23(WOLF) beasts of prey, predatory animals: wolf', '31D15 adult woman', '44A51(ETRURIA) personifications of countries, nations, states, districts, etc. (ETRURIA)', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", ""45A232 peace and prosperity, 'Pax et Abundantia'""]",True
34,E015517,Zum Krieg und Frieden.,1695,25F33(EAGLE)(+5245) predatory birds: eagle (+ animal(s) holding something),25F33(EAGLE)(+526) predatory birds: eagle (+ animal(s) moving in the air),"25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)","26E2 lightning, flash of lightning, thunderbolt","44B1 ruler, sovereign","45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)",devisesetembleme00augs,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00augs,"['25F33(EAGLE)(+5245) predatory birds: eagle (+ animal(s) holding something)', '25F33(EAGLE)(+526) predatory birds: eagle (+ animal(s) moving in the air)', '25G3(OLIVE-TREE)(+22) trees: olive-tree (+ branch, stick)', '26E2 lightning, flash of lightning, thunderbolt', '44B1 ruler, sovereign', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)""]",True
35,E015729,Ich liebe das Trübe.,1695,21D water (one of the four elements),"25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)",25H113 (high) hill,25H212 brook,"44F revolution, revolt","45A10 symbols, allegories of war; 'Guerra' (Ripa)","51DD1(+4) Disorder, Confusion, Derangement, Disorganization, Chaos (+ emblematical representation of concept)",devisesetembleme00augs,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00augs,"['21D water (one of the four elements)', '25F24(CAMEL)(+5227) hoofed animals: camel (+ animal trampling, treading, stamping on someone or something)', '25H113 (high) hill', '25H212 brook', '44F revolution, revolt', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", '51DD1(+4) Disorder, Confusion, Derangement, Disorganization, Chaos (+ emblematical representation of concept)']",True
37,E015879,Der Lohn deß Krieges.,1695,"25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)",25F711(FLY)(+45) insects: fly (+ animals eating and drinking),25F711(FLY)(+5262) insects: fly (+ flying animal(s)),"45A10 symbols, allegories of war; 'Guerra' (Ripa)","45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)","86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)",,devisesetembleme00augs,http://emblematica.library.illinois.edu/detail/book/devisesetembleme00augs,"['25F23(LION)(+63) beasts of prey, predatory animals: lion (+ dying animal; death of animal; dead animal)', '25F711(FLY)(+45) insects: fly (+ animals eating and drinking)', '25F711(FLY)(+5262) insects: fly (+ flying animal(s))', ""45A10 symbols, allegories of war; 'Guerra' (Ripa)"", ""45A20 symbols, allegories of peace, 'Pax'; 'Pace' (Ripa)"", '86(MERCES BELLI) proverbs, sayings, etc. (MERCES BELLI)']",True
