,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,Josquin Des Prés,Benedicta es,0.0,"['1/1.0', '9/1.0']",['P-8'],"[0.0, 64.0]","[('2', '2', '2', '-4')]",[64.0],"['[Contratenor]', '[Bassus]']",FUGA,2,False,,
1,Josquin Des Prés,Benedicta es,80.0,"['11/1.0', '15/1.0']",['P-8'],"[80.0, 112.0]","[('-2', '4', '-2', '-2')]",[32.0],"['[Discantus]', '[Tenor]']",FUGA,2,False,,
2,Josquin Des Prés,Benedicta es,84.0,"['11/3.0', '15/3.0', '19/1.0', '23/1.0']","['P1', 'P12', 'P-8']","[84.0, 116.0, 144.0, 176.0]","[('2', '-3', '-2', '-2')]","[32.0, 28.0, 32.0]","['[SextaVox]', '[Bassus]', '[Discantus]', '[Tenor]']",ID,4,False,,
3,Josquin Des Prés,Benedicta es,148.0,"['19/3.0', '23/3.0']",['P1'],"[148.0, 180.0]","[('2', '-3', '2', '-2')]",[32.0],"['[SextaVox]', '[Bassus]']",FUGA,2,False,,
4,Josquin Des Prés,Benedicta es,154.0,"['20/2.0', '24/2.0']",['P1'],"[154.0, 186.0]","[('4', '-3', '-3', '-2')]",[32.0],"['[QuintaVox]', '[QuintaVox]']",FUGA,2,False,,
5,Josquin Des Prés,Benedicta es,162.0,"['21/2.0', '25/2.0']",['P1'],"[162.0, 194.0]","[('4', '-3', '4', '2')]",[32.0],"['[Contratenor]', '[Contratenor]']",FUGA,2,False,,
6,Josquin Des Prés,Benedicta es,212.0,"['27/3.0', '30/3.0', '33/3.0']","['P-8', 'P1']","[212.0, 236.0, 260.0]","[('2', '-2', '-2', '3')]","[24.0, 24.0]","['[Discantus]', '[Tenor]', '[Contratenor]']",PEN,3,False,,
7,Josquin Des Prés,Benedicta es,220.0,"['28/3.0', '31/3.0', '34/3.0']","['P-8', 'P1']","[220.0, 244.0, 268.0]","[('-2', '-2', '-2', '-2')]","[24.0, 24.0]","['[QuintaVox]', '[Bassus]', '[SextaVox]']",PEN,3,False,,
8,Josquin Des Prés,Benedicta es,326.0,"['41/4.0', '42/2.0']",['m6'],"[326.0, 330.0]","[('-2', '-2', '-2', '2')]",[4.0],"['[QuintaVox]', '[Discantus]']",FUGA,2,False,,
9,Josquin Des Prés,Benedicta es,388.0,"['49/3.0', '55/3.0', '56/1.0']","['P-4', 'P-5']","[388.0, 436.0, 440.0]","[('2', '-3', '-2', '-2')]","[48.0, 4.0]","['[Discantus]', '[Contratenor]', '[Tenor]']",FUGA,3,False,,
10,Josquin Des Prés,Benedicta es,438.0,"['55/4.0', '61/3.0']",['M9'],"[438.0, 484.0]","[('2', '-2', '-2', '-2')]",[46.0],"['[QuintaVox]', '[Discantus]']",FUGA,2,False,,
11,Josquin Des Prés,Benedicta es,492.0,"['62/3.0', '65/3.0']",['P-8'],"[492.0, 516.0]","[('2', '-2', '-3', '2')]",[24.0],"['[Contratenor]', '[SextaVox]']",FUGA,2,False,,
12,Josquin Des Prés,Benedicta es,522.0,"['66/2.0', '71/2.0']",['P1'],"[522.0, 562.0]","[('2', '-3', '2', '-5')]",[40.0],"['[Bassus]', '[Bassus]']",FUGA,2,False,,
13,Josquin Des Prés,Benedicta es,536.0,"['68/1.0', '68/2.0']",['P8'],"[536.0, 538.0]","[('2', '2', '2', '2')]",[2.0],"['[Contratenor]', '[Discantus]']",FUGA,2,False,,
14,Josquin Des Prés,Benedicta es,538.0,"['68/2.0', '69/4.0']",['P1'],"[538.0, 550.0]","[('2', '-3', '2', '-8')]",[12.0],"['[Bassus]', '[SextaVox]']",FUGA,2,False,,
