,Validation,Comments,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0']","['P-5', 'P-4', 'P-5']","[0.0, 8.0, 40.0, 48.0]","[('-3', '3', '2', '-2')]","[8.0, 32.0, 8.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",ID,4.0,False
1,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0', '11/3.0', '14/1.0', '17/1.0']","['P-5', 'P-4', 'P-5', 'P8', 'P5', 'P-8']","[0.0, 8.0, 40.0, 48.0, 84.0, 104.0, 128.0]","[('-3', '3', '2', '-2')]","[8.0, 32.0, 8.0, 36.0, 20.0, 24.0]","['Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,7.0,False
2,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,40.0,"['6/1.0', '11/3.0', '17/1.0']","['P4', 'P-4']","[40.0, 84.0, 128.0]","[('-3', '3', '2', '-2')]","[44.0, 44.0]","['Tenor', 'Altus', 'Bassus']",PEN,3.0,False
3,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '21/4.0', '22/4.0', '25/4.0', '27/4.0', '29/4.0', '32/2.0', '35/2.0']","['P8', 'P-5', 'P-4', 'P-5', 'P8', 'P8', 'P-11']","[150.0, 166.0, 174.0, 198.0, 214.0, 230.0, 250.0, 274.0]","[('-3', '2', '2', '-2')]","[16.0, 8.0, 24.0, 16.0, 16.0, 20.0, 24.0]","['Tenor', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,8.0,False
4,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '22/4.0', '32/2.0', '35/2.0']","['P4', 'P8', 'P-11']","[150.0, 174.0, 250.0, 274.0]","[('-3', '2', '2', '-2')]","[24.0, 76.0, 24.0]","['Tenor', 'Altus', 'Cantus', 'Bassus']",ID,4.0,False
5,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '21/4.0', '27/4.0', '29/4.0']","['P8', 'P-12', 'P8']","[150.0, 166.0, 214.0, 230.0]","[('-3', '2', '2', '-2')]","[16.0, 48.0, 16.0]","['Tenor', 'Cantus', 'Bassus', 'Altus']",ID,4.0,False
6,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '21/4.0', '25/4.0', '27/4.0']","['P8', 'P-8', 'P-5']","[150.0, 166.0, 198.0, 214.0]","[('-3', '2', '2', '-2')]","[16.0, 32.0, 16.0]","['Tenor', 'Cantus', 'Tenor', 'Bassus']",ID,4.0,False
7,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,150.0,"['19/4.0', '22/4.0', '25/4.0']","['P4', 'P-4']","[150.0, 174.0, 198.0]","[('-3', '2', '2', '-2')]","[24.0, 24.0]","['Tenor', 'Altus', 'Tenor']",PEN,3.0,False
8,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,166.0,"['21/4.0', '25/4.0', '29/4.0']","['P-8', 'P4']","[166.0, 198.0, 230.0]","[('-3', '2', '2', '-2')]","[32.0, 32.0]","['Cantus', 'Tenor', 'Altus']",PEN,3.0,False
9,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,174.0,"['22/4.0', '25/4.0', '32/2.0', '35/2.0']","['P-4', 'P11', 'P-11']","[174.0, 198.0, 250.0, 274.0]","[('-3', '2', '2', '-2')]","[24.0, 52.0, 24.0]","['Altus', 'Tenor', 'Cantus', 'Bassus']",ID,4.0,False
10,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,198.0,"['25/4.0', '27/4.0', '29/4.0']","['P-5', 'P8']","[198.0, 214.0, 230.0]","[('-3', '2', '2', '-2')]","[16.0, 16.0]","['Tenor', 'Bassus', 'Altus']",PEN,3.0,False
11,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,298.0,"['38/2.0', '38/4.0', '42/2.0', '44/1.0', '46/2.0', '48/4.0']","['P-5', 'P-5', 'P8', 'P8', 'P-11']","[298.0, 302.0, 330.0, 344.0, 362.0, 382.0]","[('-3', '3', '-2', '-2')]","[4.0, 28.0, 14.0, 18.0, 20.0]","['Altus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Bassus']",FUGA,6.0,False
12,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,298.0,"['38/2.0', '42/2.0', '46/2.0']","['M-9', 'P15']","[298.0, 330.0, 362.0]","[('-3', '3', '-2', '-2')]","[32.0, 32.0]","['Altus', 'Bassus', 'Cantus']",PEN,3.0,False
13,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '51/4.0', '53/2.0', '55/2.0', '56/4.0', '59/1.0', '61/4.0', '62/2.0', '64/2.0']","['P5', 'P-8', 'P4', 'P5', 'P-8', 'P8', 'P-4', 'P-5']","[394.0, 406.0, 418.0, 434.0, 446.0, 464.0, 486.0, 490.0, 506.0]","[('-2', '2', '3', '-2')]","[12.0, 12.0, 16.0, 12.0, 18.0, 22.0, 4.0, 16.0]","['Altus', 'Cantus', 'Bassus', 'Tenor', 'Altus', 'Bassus', 'Cantus', 'Altus', 'Tenor']",FUGA,9.0,False
14,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '55/2.0', '56/4.0', '61/4.0']","['P1', 'P5', 'P1']","[394.0, 434.0, 446.0, 486.0]","[('-2', '2', '3', '-2')]","[40.0, 12.0, 40.0]","['Altus', 'Tenor', 'Altus', 'Cantus']",ID,4.0,False
15,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '51/4.0', '55/2.0', '56/4.0']","['P5', 'P-5', 'P5']","[394.0, 406.0, 434.0, 446.0]","[('-2', '2', '3', '-2')]","[12.0, 28.0, 12.0]","['Altus', 'Cantus', 'Tenor', 'Altus']",ID,4.0,False
16,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,394.0,"['50/2.0', '51/4.0', '53/2.0']","['P5', 'P-8']","[394.0, 406.0, 418.0]","[('-2', '2', '3', '-2')]","[12.0, 12.0]","['Altus', 'Cantus', 'Bassus']",PEN,3.0,False
17,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,406.0,"['51/4.0', '56/4.0', '61/4.0']","['P1', 'P1']","[406.0, 446.0, 486.0]","[('-2', '2', '3', '-2')]","[40.0, 40.0]","['Cantus', 'Altus', 'Cantus']",PEN,3.0,False
18,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,406.0,"['51/4.0', '53/2.0', '55/2.0', '56/4.0']","['P-8', 'P4', 'P5']","[406.0, 418.0, 434.0, 446.0]","[('-2', '2', '3', '-2')]","[12.0, 16.0, 12.0]","['Cantus', 'Bassus', 'Tenor', 'Altus']",ID,4.0,False
19,,,"Palestrina, Giovanni Pierluigi da",Veni sponsa Christi,418.0,"['53/2.0', '55/2.0', '62/2.0', '64/2.0']","['P4', 'M2', 'P-5']","[418.0, 434.0, 490.0, 506.0]","[('-2', '2', '3', '-2')]","[16.0, 56.0, 16.0]","['Bassus', 'Tenor', 'Altus', 'Tenor']",ID,4.0,False
20,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,0.0,"['1/1.0', '2/1.0', '6/1.0', '7/1.0']","['P-5', 'P-4', 'P-5']","[0.0, 8.0, 40.0, 48.0]","[('-3', '3', '2', '-2')]","[8.0, 32.0, 8.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",ID,4.0,False
21,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,78.0,"['10/4.0', '12/2.0', '14/2.0', '15/3.0']","['P-4', 'P-5', 'P-4']","[78.0, 90.0, 106.0, 116.0]","[('2', '2', '2', '2')]","[12.0, 16.0, 10.0]","['Cantus', 'Altus', 'Tenor', 'Bassus']",FUGA,4.0,False
22,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,160.0,"['20/1.0', '24/1.0', '30/2.0', '33/1.0', '35/3.0', '39/3.0']","['P-8', 'P1', 'P4', 'P-8', 'P5']","[160.0, 192.0, 242.0, 264.0, 284.0, 316.0]","[('-3', '2', '2', '-2')]","[32.0, 50.0, 22.0, 20.0, 32.0]","['Cantus', 'Tenor', 'Bassus', 'Altus', 'Bassus', 'Bassus']",FUGA,6.0,False
23,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,160.0,"['20/1.0', '24/1.0', '35/3.0', '39/3.0']","['P-8', 'P-5', 'P5']","[160.0, 192.0, 284.0, 316.0]","[('-3', '2', '2', '-2')]","[32.0, 92.0, 32.0]","['Cantus', 'Tenor', 'Bassus', 'Bassus']",ID,4.0,False
24,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,164.0,"['20/3.0', '24/3.0', '27/2.0', '27/4.0', '30/4.0', '36/1.0', '40/2.0', '40/4.0']","['P-8', 'P8', 'P-8', 'P5', 'P4', 'P5', 'M-6']","[164.0, 196.0, 218.0, 222.0, 246.0, 288.0, 322.0, 326.0]","[('2', '2', '-2', '-3')]","[32.0, 22.0, 4.0, 24.0, 42.0, 34.0, 4.0]","['Altus', 'Bassus', 'Cantus', 'Tenor', 'Tenor', 'Altus', 'Cantus', 'Tenor']",FUGA,8.0,False
25,,,Giovanni Pierluigi da Palestrina,Missa Veni sponsa Christi: Kyrie,218.0,"['27/2.0', '27/4.0', '40/2.0', '40/4.0']","['P-8', 'P12', 'M-6']","[218.0, 222.0, 322.0, 326.0]","[('2', '2', '-2', '-3')]","[4.0, 100.0, 4.0]","['Cantus', 'Tenor', 'Cantus', 'Tenor']",ID,4.0,False
