,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,Cipriano de Rore,Ite rime dolenti,16.0,"['3/1.0', '4/3.0']",['P-12'],"[16.0, 28.0]","[('5', '-2', '3', '-2')]",[12.0],"['cantus', 'bassus']",FUGA,2,False,,
1,Cipriano de Rore,Ite rime dolenti,46.0,"['6/4.0', '7/4.0', '8/1.0', '8/4.0']","['P-11', 'm7', 'P5']","[46.0, 54.0, 56.0, 62.0]","[('-2', '-2', '-2', '-2'), ('-2', '-3', '-2', '-2')]","[8.0, 2.0, 6.0]","['cantus', 'bassus', 'altus', 'cantus']",FUGA,4,True,,
2,Cipriano de Rore,Ite rime dolenti,46.0,"['6/4.0', '7/4.0', '8/4.0']","['P-11', 'P11']","[46.0, 54.0, 62.0]","[('-2', '-2', '-2', '-2'), ('-2', '-3', '-2', '-2')]","[8.0, 8.0]","['cantus', 'bassus', 'cantus']",PEN,3,True,,
3,Cipriano de Rore,Ite rime dolenti,70.0,"['9/4.0', '11/2.0', '11/4.0']","['P1', 'P-4']","[70.0, 82.0, 86.0]","[('-3', '-2', '4', '-2')]","[12.0, 4.0]","['quintus', 'tenor', 'bassus']",FUGA,3,False,,
4,Cipriano de Rore,Ite rime dolenti,94.0,"['12/4.0', '21/2.0', '22/4.0']","['P-8', 'P1']","[94.0, 162.0, 174.0]","[('-5', '2', '2', '-2'), ('-4', '2', '2', '-2')]","[68.0, 12.0]","['altus', 'tenor', 'quintus']",FUGA,3,True,,
5,Cipriano de Rore,Ite rime dolenti,114.0,"['15/2.0', '18/2.0']",['P-5'],"[114.0, 138.0]","[('4', '-3', '5', '-2'), ('5', '-3', '5', '-2')]",[24.0],"['quintus', 'bassus']",FUGA,2,True,,
6,Cipriano de Rore,Ite rime dolenti,118.0,"['15/4.0', '16/3.0', '18/4.0', '20/4.0']","['P5', 'P-8', 'P8']","[118.0, 124.0, 142.0, 158.0]","[('5', '-2', '-2', '2'), ('4', '-2', '-2', '2'), ('4', '-2', '-2', '3')]","[6.0, 18.0, 16.0]","['altus', 'cantus', 'tenor', 'cantus']",FUGA,4,True,,
7,Cipriano de Rore,Ite rime dolenti,118.0,"['15/4.0', '16/3.0', '18/4.0']","['P5', 'P-8']","[118.0, 124.0, 142.0]","[('5', '-2', '-2', '2'), ('4', '-2', '-2', '2')]","[6.0, 18.0]","['altus', 'cantus', 'tenor']",FUGA,3,True,,
8,Cipriano de Rore,Ite rime dolenti,178.0,"['23/2.0', '24/2.0', '25/2.0']","['P1', 'P-4']","[178.0, 186.0, 194.0]","[('-2', '-4', '2', '2'), ('-2', '-4', '2', '3')]","[8.0, 8.0]","['cantus', 'altus', 'tenor']",PEN,3,True,,
9,Cipriano de Rore,Ite rime dolenti,178.0,"['23/2.0', '23/4.0', '24/2.0']","['P-8', 'P8']","[178.0, 182.0, 186.0]","[('-2', '-4', '2', '2'), ('-2', '-4', '2', '3')]","[4.0, 4.0]","['cantus', 'bassus', 'altus']",PEN,3,True,,
10,Cipriano de Rore,Ite rime dolenti,178.0,"['23/2.0', '23/4.0', '24/2.0', '25/2.0']","['P-8', 'P8', 'P-4']","[178.0, 182.0, 186.0, 194.0]","[('-2', '-4', '2', '2'), ('-2', '-4', '2', '3')]","[4.0, 4.0, 8.0]","['cantus', 'bassus', 'altus', 'tenor']",FUGA,4,True,,
11,Cipriano de Rore,Ite rime dolenti,232.0,"['29/1.0', '30/1.0', '33/4.0']","['P4', 'P5']","[232.0, 240.0, 270.0]","[('2', '-2', '-2', '3'), ('2', '-2', '-2', '4')]","[8.0, 30.0]","['tenor', 'altus', 'cantus']",FUGA,3,True,,
12,Cipriano de Rore,Ite rime dolenti,232.0,"['29/1.0', '30/1.0', '31/4.0', '33/4.0']","['P4', 'P-4', 'P8']","[232.0, 240.0, 254.0, 270.0]","[('2', '-2', '-2', '3'), ('2', '-2', '-2', '4'), ('2', '-2', '-2', '5')]","[8.0, 14.0, 16.0]","['tenor', 'altus', 'quintus', 'cantus']",FUGA,4,True,,
13,Cipriano de Rore,Ite rime dolenti,240.0,"['30/1.0', '31/4.0', '33/4.0']","['P-4', 'P8']","[240.0, 254.0, 270.0]","[('2', '-2', '-2', '4'), ('2', '-2', '-2', '5')]","[14.0, 16.0]","['altus', 'quintus', 'cantus']",FUGA,3,True,,
14,Cipriano de Rore,Ite rime dolenti,290.0,"['36/2.0', '37/4.0', '38/2.0']","['P5', 'P1']","[290.0, 302.0, 306.0]","[('3', '3', '-8', '4')]","[12.0, 4.0]","['bassus', 'quintus', 'tenor']",FUGA,3,False,,
15,Cipriano de Rore,Ite rime dolenti,322.0,"['40/2.0', '41/2.0']",['P4'],"[322.0, 330.0]","[('-2', '-2', '2', '-4')]",[8.0],"['bassus', 'tenor']",FUGA,2,False,,
16,Cipriano de Rore,Ite rime dolenti,392.0,"['49/1.0', '49/2.0', '51/3.0', '51/4.0', '52/4.0', '54/2.0']","['P-5', 'M9', 'P-5', 'P-5', 'M2']","[392.0, 394.0, 412.0, 414.0, 422.0, 434.0]","[('-3', '2', '2', '2'), ('-4', '2', '2', '2')]","[2.0, 18.0, 2.0, 8.0, 12.0]","['tenor', 'quintus', 'cantus', 'altus', 'bassus', 'tenor']",FUGA,6,True,,
17,Cipriano de Rore,Ite rime dolenti,392.0,"['49/1.0', '49/2.0', '51/3.0', '51/4.0']","['P-5', 'M9', 'P-5']","[392.0, 394.0, 412.0, 414.0]","[('-3', '2', '2', '2'), ('-4', '2', '2', '2')]","[2.0, 18.0, 2.0]","['tenor', 'quintus', 'cantus', 'altus']",ID,4,True,,
18,Cipriano de Rore,Ite rime dolenti,392.0,"['49/1.0', '51/3.0', '51/4.0', '54/2.0']","['P5', 'P-5', 'P-4']","[392.0, 412.0, 414.0, 434.0]","[('-3', '2', '2', '2'), ('-4', '2', '2', '2')]","[20.0, 2.0, 20.0]","['tenor', 'cantus', 'altus', 'tenor']",ID,4,True,,
19,Cipriano de Rore,Ite rime dolenti,394.0,"['49/2.0', '51/4.0', '54/2.0']","['P5', 'P-4']","[394.0, 414.0, 434.0]","[('-3', '2', '2', '2'), ('-4', '2', '2', '2')]","[20.0, 20.0]","['quintus', 'altus', 'tenor']",PEN,3,True,,
