,Validation,Comments,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,,,Josquin Des Prés,Praeter rerum,0.0,"['1/1.0', '3/1.0']",['P1'],"[0.0, 24.0]","[('2', '2', '2', '-2')]",[24.0],"['[Bassus I]', '[Bassus II]']",FUGA,2.0,False
1,,,Josquin Des Prés,Praeter rerum,96.0,"['9/1.0', '11/1.0']","['m3', 'm-3']","[96.0, 96.0, 120.0]","[('2', '2', '2', '-2')]","[0.0, 24.0]","['[Altus I]', '[Tenor]', '[Altus II]']",FUGA,3.0,False
2,,,Josquin Des Prés,Praeter rerum,172.0,"['15/2.0', '16/1.0', '16/3.0', '17/2.0', '23/1.0', '23/2.5', '24/1.0', '24/3.0', '25/2.0']","['P-5', 'P1', 'P8', 'P1', 'P1', 'M-3', 'P1', 'P1']","[172.0, 180.0, 188.0, 196.0, 264.0, 270.0, 276.0, 284.0, 292.0]","[('-3', '2', '2', '-5')]","[8.0, 8.0, 8.0, 68.0, 6.0, 6.0, 8.0, 8.0]","['[Tenor]', '[Bassus I]', '[Bassus II]', '[Altus II]', '[Altus II]', '[Altus I]', '[Bassus I]', '[Tenor]', '[Bassus II]']",FUGA,9.0,False
3,,,Josquin Des Prés,Praeter rerum,202.0,"['17/3.5', '18/2.5', '19/1.5', '19/3.5', '24/2.5', '25/1.5', '25/3.5']","['P1', 'P1', 'P1', 'P8', 'P1', 'P1']","[202.0, 210.0, 218.0, 226.0, 282.0, 290.0, 298.0]","[('-2', '-3', '2', '-2')]","[8.0, 8.0, 8.0, 56.0, 8.0, 8.0]","['[Bassus I]', '[Bassus II]', '[Bassus I]', '[Bassus II]', '[Altus II]', '[Altus I]', '[Altus II]']",FUGA,7.0,False
4,,,Josquin Des Prés,Praeter rerum,306.0,"['26/2.5', '27/1.5']",['M-2'],"[306.0, 314.0]","[('2', '2', '-3', '2')]",[8.0],"['[Bassus I]', '[Tenor]']",FUGA,2.0,False
5,,,Josquin Des Prés,Praeter rerum,322.0,"['27/3.5', '28/2.5']",['P4'],"[322.0, 330.0]","[('2', '2', '-3', '4')]",[8.0],"['[Bassus I]', '[Tenor]']",FUGA,2.0,False
6,,,Josquin Des Prés,Praeter rerum,362.0,"['31/1.5', '32/2.5', '33/1.5', '35/1.5', '35/1.5']","['P1', 'P1', 'P1', 'P4']","[362.0, 378.0, 394.0, 410.0, 418.0]","[('-2', '-2', '2', '2')]","[16.0, 16.0, 16.0, 8.0]","['[Altus II]', '[Altus I]', '[Altus II]', '[Altus I]', '[Altus II]']",FUGA,5.0,False
7,,,Josquin Des Prés,Praeter rerum,368.0,"['31/1.0', '33/2.0', '34/2.0']","['P1', 'P1']","[368.0, 388.0, 400.0]","[('4', '-3', '2', '-2')]","[20.0, 12.0]","['[Bassus I]', '[Bassus II]', '[Bassus I]']",FUGA,3.0,False
8,,,Josquin Des Prés,Praeter rerum,456.0,"['39/1.0', '40/1.0', '43/1.0', '44/2.0']","['P1', 'P8', 'P1']","[456.0, 468.0, 504.0, 520.0]","[('4', '-2', '2', '3')]","[12.0, 36.0, 16.0]","['[Bassus II]', '[Bassus I]', '[Altus II]', '[Altus I]']",FUGA,4.0,False
9,,,Josquin Des Prés,Praeter rerum,548.0,"['46/1.0', '50/2.0']",['P8'],"[548.0, 592.0]","[('5', '-2', '-2', '4')]",[44.0],"['[Bassus I]', '[Altus I]']",FUGA,2.0,False
10,,,Josquin Des Prés,Praeter rerum,552.0,"['47/1.0', '50/2.0']",['P8'],"[552.0, 592.0]","[('-2', '-2', '-2', '2')]",[40.0],"['[Tenor]', '[Discantus]']",FUGA,2.0,False
11,,,Josquin Des Prés,Praeter rerum,698.0,"['59/2.0', '67/1.0', '68/2.0']","['P-8', 'P1']","[698.0, 764.0, 770.0]","[('2', '2', '-5', '3')]","[66.0, 6.0]","['[Altus II]', '[Bassus I]', '[Bassus II]']",FUGA,3.0,False
12,,,Josquin Des Prés,Praeter rerum,728.0,"['63/1.0', '68/1.0']",['P-5'],"[728.0, 768.0]","[('2', '-2', '-3', '2')]",[40.0],"['[Altus I]', '[Tenor]']",FUGA,2.0,False
13,,,Josquin Des Prés,Praeter rerum,798.0,"['71/2.0', '73/2.0']",['P1'],"[798.0, 810.0]","[('-2', '-3', '2', '-2')]",[12.0],"['[Altus II]', '[Altus I]']",FUGA,2.0,False
14,,,Josquin Des Prés,Praeter rerum,808.0,"['73/1.0', '76/1.0']",['P-8'],"[808.0, 832.0]","[('-2', '2', '2', '-2')]",[24.0],"['[Discantus]', '[Tenor]']",FUGA,2.0,False
