Measure,Beat,Bassus_Quinta vox,Bassus_Tenor,Bassus_Altus,Bassus_Sexta vox,Bassus_Cantus,Quinta vox_Tenor,Quinta vox_Altus,Quinta vox_Sexta vox,Quinta vox_Cantus,Tenor_Altus,Tenor_Sexta vox,Tenor_Cantus,Altus_Sexta vox,Altus_Cantus,Sexta vox_Cantus
1,1.0,"3_-4, 5_-5, 8","5_-4, 8_-5, 12","8_-4, 10_-5, 15","8_-4, 12_-5, 19","12_-4, 15_-5, 17","3_-2, 4_-2, 5","6_-2, 6_-2, 8","6_-2, 8_-2, 12","10_-2, 11_-2, 10","4_1, 3_1, 4","4_1, 5_1, 8","8_1, 8_1, 6","1_-2, 3_2, 5","5_-2, 6_2, 3","5_2, 4_4, -3"
1,2.5,"5_-5, 8_4, 5","8_-5, 12_4, 8","10_-5, 15_4, 10","12_-5, 19_4, 12","15_-5, 17_4, 15","4_-2, 5_1, 4","6_-2, 8_1, 6","8_-2, 12_1, 8","11_-2, 10_1, 11","3_1, 4_-2, 3","5_1, 8_-2, 5","8_1, 6_-2, 8","3_2, 5_-3, 3","6_2, 3_-3, 6","4_4, -3_-5, 4"
1,3.0,"8_4, 5_-5, 8","12_4, 8_-5, 12","15_4, 10_-5, 15","19_4, 12_-5, 17","17_4, 15_-5, 19","5_1, 4_-2, 5","8_1, 6_-2, 8","12_1, 8_-2, 10","10_1, 11_-2, 12","4_-2, 3_1, 4","8_-2, 5_1, 6","6_-2, 8_1, 8","5_-3, 3_2, 3","3_-3, 6_2, 5","-3_-5, 4_2, 3"
1,4.0,"5_-5, 8_4, 5","8_-5, 12_4, 8","10_-5, 15_4, 12","12_-5, 17_4, 15","15_-5, 19_4, 17","4_-2, 5_1, 4","6_-2, 8_1, 8","8_-2, 10_1, 11","11_-2, 12_1, 13","3_1, 4_-2, 5","5_1, 6_-2, 8","8_1, 8_-2, 10","3_2, 3_1, 4","6_2, 5_1, 6","4_2, 3_2, 3"
2,1.0,,,,,,"5_1, 4_-2, 8","8_1, 8_-2, 10","10_1, 11_-2, 12",,"4_-2, 5_4, 3","6_-2, 8_4, 5",,"3_1, 4_2, 3",,
3,1.5,,,,,,"5_3, 3_-4, 5","8_3, 5_-4, 8","10_3, 8_-4, 10",,"4_Held, 3_-2, 4","6_Held, 6_-2, 6",,"3_-2, 4_1, 3",,
4,1.5,,"5_5, 1_-3, 3","12_5, 8_-3, 10","15_5, 10_-3, 12","17_5, 12_-3, 15",,,,,"8_Held, 8_Held, 8","11_Held, 10_Held, 10","13_Held, 12_Held, 13","4_1, 3_1, 3","6_1, 5_1, 6","3_-2, 3_1, 4"
4,2.0,,,"8_-3, 10_4, 5","10_-3, 12_4, 8","12_-3, 15_4, 10",,,,,,,,"3_1, 3_-3, 4","5_1, 6_-3, 6","3_1, 4_-2, 3"
4,2.5,,,"10_4, 5_-4, 8","12_4, 8_-4, 10","15_4, 10_-4, 12",,,,,,,,"3_-3, 4_1, 3","6_-3, 6_1, 5","4_-2, 3_-2, 3"
8,2.0,"8_-2, 10_5, 5","10_-2, 12_5, 8",,"12_-2, 15_5, 10",,"3_2, 3_-2, 4",,"5_2, 6_-2, 6",,,"3_2, 4_1, 3",,,,
8,2.5,"10_5, 5_2, 3","12_5, 8_2, 5",,"15_5, 10_2, 10",,"3_-2, 4_-2, 3",,"6_-2, 6_-2, 8",,,"4_1, 3_-3, 6",,,,
10,2.0,,,,,,,,,,,,,"5_-2, 8_5, 3","8_-2, 10_5, 5","4_3, 3_-2, 3"
10,2.5,,,,,,,,,,,,,"8_5, 3_2, 3","10_5, 5_2, 3","3_-2, 3_2, 1"
10,3.0,,,,,,,,,,,,,"3_2, 3_2, -3",,
11,2.0,,,,,,,,,,,,,"3_2, 1_-4, 3","5_2, 3_-4, 5","3_-2, 3_-2, 3"
11,2.5,,,,,,,,,,,,,"1_-4, 3_-5, 8","3_-4, 5_-5, 10","3_-2, 3_2, 3"
12,2.5,"8_5, 3_-5, 5","10_5, 5_-5, 8","12_5, 8_-5, 10",,,"3_-2, 3_-3, 4","5_-2, 6_-3, 6",,,"3_-2, 4_-2, 3",,,,,
12,3.0,,,,,,,,,,"4_-2, 3_3, 3",,,,,
13,2.0,,,,,,,,,,"5_-2, 8_5, 3","8_-2, 10_5, 5","10_-2, 12_5, 8","4_3, 3_-2, 3","6_3, 5_-2, 6","3_2, 3_-2, 4"
13,2.5,,,,,,,,,,"8_5, 3_-5, 5","10_5, 5_-5, 8","12_5, 8_-5, 10","3_-2, 3_-3, 4","5_-2, 6_-3, 6","3_-2, 4_-2, 3"
13,3.0,,,,,,,,,,"3_-5, 5_2, 4","5_-5, 8_2, 6","8_-5, 10_2, 11","3_-3, 4_1, 3","6_-3, 6_1, 8","4_-2, 3_-2, 6"
17,2.5,,,,,,,,,,"3_-5, 5_-2, 8",,"5_-5, 10_-2, 10",,"3_-3, 6_3, 3",
17,3.0,,,,,,,,,,"5_-2, 8_5, 3",,"10_-2, 10_5, 5",,"6_3, 3_-2, 3",
19,2.5,,,,,,"8_5, 5_-5, 10","10_5, 5_-5, 8","15_5, 10_-5, 15","12_5, 8_-5, 12","3_2, 1_2, -3","8_2, 6_2, 6","5_2, 4_2, 3","6_-2, 6_-2, 8","3_-2, 4_-2, 5","-4_-2, -3_2, -4"
19,3.0,,,,,,,,,,,,,"6_-2, 8_3, 3",,
20,2.0,,"5_-2, 6_2, 5","8_-2, 10_2, 8","10_-2, 10_2, 10",,,,,,"4_1, 5_1, 4","6_1, 5_1, 6",,"3_2, 1_-2, 3",,
