,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Validation,Comments
0,Tomás Luis Victoria,O quam gloriosum,0.0,"['1/1.0', '7/3.0']","['P-4', 'P-4']","[0.0, 0.0, 52.0]","[('2', '2', '2', '2')]","[0.0, 52.0]","['Cantus', 'Altus', 'Altus']",FUGA,3,False,,
1,Tomás Luis Victoria,O quam gloriosum,8.0,"['2/1.0', '5/2.5', '8/1.5', '10/4.0', '12/2.5', '15/2.0', '16/4.0', '22/1.5', '23/4.0', '26/1.0', '33/1.0', '40/3.5', '44/4.5', '47/2.0', '48/2.0', '49/2.0', '52/4.0', '53/2.0', '53/4.0']","['P5', 'P-4', 'm-3', 'M-3', 'M10', 'P-15', 'P15', 'M-6', 'P1', 'M2', 'P5', 'P-5', 'P1', 'M-7', 'A1', 'P1', 'P12', 'P-5', 'A-4']","[8.0, 35.0, 57.0, 78.0, 78.0, 91.0, 114.0, 126.0, 169.0, 182.0, 200.0, 256.0, 317.0, 351.0, 370.0, 378.0, 386.0, 414.0, 418.0, 422.0]","[('2', '-2', '-2', '-2')]","[27.0, 22.0, 21.0, 0.0, 13.0, 23.0, 12.0, 43.0, 13.0, 18.0, 56.0, 61.0, 34.0, 19.0, 8.0, 8.0, 28.0, 4.0, 4.0]","['Tenor', 'Altus', 'Altus', 'Tenor', 'Bassus', 'Cantus', 'Bassus', 'Cantus', 'Tenor', 'Tenor', 'Altus', 'Cantus', 'Cantus', 'Altus', 'Bassus', 'Tenor', 'Bassus', 'Cantus', 'Altus', 'Tenor']",FUGA,20,False,,
2,Tomás Luis Victoria,O quam gloriosum,8.0,"['2/1.0', '7/4.5', '8/1.0', '12/1.5', '19/1.5', '21/4.5', '22/3.0', '28/4.5', '31/4.5', '32/1.0']","['P-4', 'M-2', 'm7', 'P-5', 'm-2', 'm6', 'm-10', 'm3', 'P5', 'm-3', 'm6']","[8.0, 55.0, 56.0, 89.0, 145.0, 167.0, 172.0, 172.0, 223.0, 247.0, 247.0, 248.0]","[('2', '2', '2', '-2')]","[47.0, 1.0, 33.0, 56.0, 22.0, 5.0, 0.0, 51.0, 24.0, 0.0, 1.0]","['Altus', 'Altus', 'Tenor', 'Cantus', 'Altus', 'Tenor', 'Cantus', 'Bassus', 'Tenor', 'Altus', 'Tenor', 'Cantus']",FUGA,12,False,,
3,Tomás Luis Victoria,O quam gloriosum,16.0,"['3/1.0', '8/1.0', '10/3.0', '12/2.0', '15/1.0', '22/1.0', '23/2.0']","['P-4', 'P-5', 'M10', 'M-6', 'P1', 'P1']","[16.0, 56.0, 76.0, 90.0, 112.0, 168.0, 178.0]","[('2', '2', '-2', '-2')]","[40.0, 20.0, 14.0, 22.0, 56.0, 10.0]","['Altus', 'Altus', 'Bassus', 'Cantus', 'Altus', 'Tenor', 'Tenor']",FUGA,7,False,,
4,Tomás Luis Victoria,O quam gloriosum,32.0,"['5/1.0', '8/2.0', '15/3.0']","['M7', 'M-10']","[32.0, 58.0, 116.0]","[('-2', '-2', '-2', '4')]","[26.0, 58.0]","['Bassus', 'Altus', 'Bassus']",FUGA,3,False,,
5,Tomás Luis Victoria,O quam gloriosum,38.0,"['5/4.0', '8/3.5']",['m7'],"[38.0, 61.0]","[('-2', '-2', '4', '-2')]",[23.0],"['Bassus', 'Altus']",FUGA,2,False,,
6,Tomás Luis Victoria,O quam gloriosum,38.0,"['5/4.0', '13/3.0', '18/1.0', '21/1.0', '24/2.0', '24/3.5', '27/1.0']","['M3', 'P-4', 'P8', 'M-3', 'P-4', 'M2']","[38.0, 100.0, 136.0, 160.0, 186.0, 189.0, 208.0]","[('-2', '-2', '2', '2')]","[62.0, 36.0, 24.0, 26.0, 3.0, 19.0]","['Tenor', 'Cantus', 'Tenor', 'Cantus', 'Altus', 'Tenor', 'Altus']",FUGA,7,False,,
7,Tomás Luis Victoria,O quam gloriosum,50.0,"['7/2.0', '11/2.5', '13/2.5', '17/2.5', '17/3.0', '20/1.0', '24/2.0', '26/3.0', '33/4.5', '34/1.0', '37/1.0', '37/2.0', '39/1.0', '40/4.0', '42/4.0', '45/4.5', '46/1.5', '47/3.5', '48/3.5', '49/3.5', '53/3.0', '54/2.0', '54/4.0', '57/2.0', '57/4.0']","['m-9', 'd5', 'A4', 'M-7', 'P8', 'm-6', 'm2', 'A4', 'M-7', 'P-4', 'M3', 'P8', 'A-4', 'd-5', 'd5', 'P-4', 'P-5', 'P1', 'P1', 'M9', 'M2', 'M-6', 'm-6', 'm7']","[50.0, 83.0, 99.0, 131.0, 132.0, 152.0, 186.0, 204.0, 263.0, 264.0, 288.0, 290.0, 304.0, 318.0, 334.0, 359.0, 361.0, 373.0, 381.0, 389.0, 420.0, 426.0, 430.0, 450.0, 454.0]","[('-2', '-2', '-2', '2')]","[33.0, 16.0, 32.0, 1.0, 20.0, 34.0, 18.0, 59.0, 1.0, 24.0, 2.0, 14.0, 14.0, 16.0, 25.0, 2.0, 12.0, 8.0, 8.0, 31.0, 6.0, 4.0, 20.0, 4.0]","['Cantus', 'Tenor', 'Cantus', 'Cantus', 'Tenor', 'Cantus', 'Tenor', 'Altus', 'Cantus', 'Tenor', 'Tenor', 'Altus', 'Cantus', 'Cantus', 'Tenor', 'Cantus', 'Altus', 'Bassus', 'Tenor', 'Bassus', 'Altus', 'Cantus', 'Tenor', 'Bassus', 'Tenor']",FUGA,25,False,,
8,Tomás Luis Victoria,O quam gloriosum,54.0,"['7/4.0', '10/1.0', '14/3.0', '16/1.0']","['M-6', 'P-8', 'P15']","[54.0, 72.0, 108.0, 120.0]","[('-2', '2', '-2', '-2')]","[18.0, 36.0, 12.0]","['Cantus', 'Tenor', 'Bassus', 'Cantus']",FUGA,4,False,,
9,Tomás Luis Victoria,O quam gloriosum,70.0,"['9/4.0', '14/2.0', '15/4.0']","['P-8', 'P15']","[70.0, 106.0, 118.0]","[('4', '-2', '2', '-2')]","[36.0, 12.0]","['Tenor', 'Bassus', 'Cantus']",FUGA,3,False,,
