,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Parallel_Entries,Parallel_Voice,Count_Non_Overlaps
0,Philippe Verdelot,Ultimi miei sospiri,0.0,"['1/1.0', '5/1.0']",['P-4'],"[0.0, 32.0]","[('3', '1', '-2', '-3'), ('2', '1', '-2', '-3')]",[32.0],"['Cantus', 'Quintus']",FUGA,2,True,0.0,,1
1,Philippe Verdelot,Ultimi miei sospiri,8.0,"['2/1.0', '3/1.0', '4/3.0', '5/1.0', '6/1.0']","['m-6', 'P-4', 'M-2', 'm7']","[8.0, 16.0, 28.0, 32.0, 40.0]","[('1', '-2', '-3', '2'), ('2', '-2', '-3', '2')]","[8.0, 12.0, 4.0, 8.0]","['Cantus', 'Tenor', 'Tenor', 'Sextus', 'Quintus']",FUGA,5,True,1.0,Bassus,4
2,Philippe Verdelot,Ultimi miei sospiri,14.0,"['2/4.0', '3/4.0', '5/4.0', '6/4.0']","['P-4', 'P-5', 'm7']","[14.0, 22.0, 38.0, 46.0]","[('-2', '-3', '2', '-2')]","[8.0, 16.0, 8.0]","['Altus', 'Tenor', 'Sextus', 'Quintus']",ID,4,False,1.0,Bassus,1
3,Philippe Verdelot,Ultimi miei sospiri,16.0,"['3/1.0', '6/1.0']",['P-8'],"[16.0, 40.0]","[('-3', '2', '2', '-2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,False,0.0,,1
4,Philippe Verdelot,Ultimi miei sospiri,20.0,"['3/3.0', '6/3.0']",['P-8'],"[20.0, 44.0]","[('2', '2', '-2', '-2'), ('1', '2', '-2', '-2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True,0.0,,1
5,Philippe Verdelot,Ultimi miei sospiri,24.0,"['4/1.0', '7/1.0']",['P-8'],"[24.0, 48.0]","[('2', '-2', '-2', '2'), ('1', '-2', '-2', '2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True,0.0,,1
6,Philippe Verdelot,Ultimi miei sospiri,62.0,"['8/4.0', '9/3.0', '10/4.0', '11/2.0', '12/2.0', '12/3.0', '13/1.0', '14/2.0', '14/4.0', '15/2.0', '23/4.0', '24/3.0', '25/4.0', '26/2.0', '27/2.0', '27/3.0', '28/1.0', '29/2.0', '29/4.0', '30/2.0', '33/1.0', '35/3.0', '37/4.0', '38/1.0', '38/2.0', '41/2.0', '41/4.0', '42/1.0', '42/2.0', '45/4.0']","['P5', 'P-5', 'P8', 'P-8', 'P-4', 'P8', 'P-5', 'P-5', 'P8', 'P-4', 'P5', 'P-5', 'P8', 'P-8', 'P-4', 'P8', 'P-5', 'P-5', 'P8', 'P4', 'M3', 'M-7', 'P8', 'm-3', 'M-6', 'P-5', 'P8', 'm-3', 'm-3']","[62.0, 68.0, 78.0, 82.0, 90.0, 92.0, 96.0, 106.0, 110.0, 114.0, 182.0, 188.0, 198.0, 202.0, 210.0, 212.0, 216.0, 226.0, 230.0, 234.0, 256.0, 276.0, 294.0, 296.0, 298.0, 322.0, 326.0, 328.0, 330.0, 358.0]","[('5', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[6.0, 10.0, 4.0, 8.0, 2.0, 4.0, 10.0, 4.0, 4.0, 68.0, 6.0, 10.0, 4.0, 8.0, 2.0, 4.0, 10.0, 4.0, 4.0, 22.0, 20.0, 18.0, 2.0, 2.0, 24.0, 4.0, 2.0, 2.0, 28.0]","['Sextus', 'Altus', 'Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Bassus', 'Quintus', 'Sextus', 'Altus', 'Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Quintus', 'Sextus', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Sextus']",FUGA,30,True,0.0,,22
7,Philippe Verdelot,Ultimi miei sospiri,64.0,"['9/1.0', '9/3.0', '10/1.0', '12/3.0', '13/1.0', '13/3.0']","['P8', 'P-5', 'P-4', 'P-5', 'P8']","[64.0, 68.0, 72.0, 92.0, 96.0, 100.0]","[('-2', '-2', '-2', '-2')]","[4.0, 4.0, 20.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Quintus']",FUGA,6,False,0.0,,1
8,Philippe Verdelot,Ultimi miei sospiri,66.0,"['9/2.0', '9/3.0', '10/4.0', '11/2.0', '12/3.0', '13/1.0', '14/2.0', '14/4.0', '15/2.0']","['m-7', 'P-5', 'P8', 'P-11', 'P8', 'P-5', 'P-5', 'P8']","[66.0, 68.0, 78.0, 82.0, 92.0, 96.0, 106.0, 110.0, 114.0]","[('2', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[2.0, 10.0, 4.0, 10.0, 4.0, 10.0, 4.0, 4.0]","['Cantus', 'Altus', 'Sextus', 'Cantus', 'Bassus', 'Quintus', 'Tenor', 'Bassus', 'Quintus']",FUGA,9,True,0.0,,5
9,Philippe Verdelot,Ultimi miei sospiri,70.0,"['9/4.0', '10/2.0', '13/2.0', '13/4.0', '14/2.0']","['P8', 'P-8', 'P-5', 'P8']","[70.0, 74.0, 98.0, 102.0, 106.0]","[('-2', '-2', '-2', '1')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
10,Philippe Verdelot,Ultimi miei sospiri,72.0,"['10/1.0', '10/3.0', '13/3.0', '14/1.0', '14/3.0']","['P8', 'P-8', 'P-5', 'P8']","[72.0, 76.0, 100.0, 104.0, 108.0]","[('-2', '-2', '1', '4')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
11,Philippe Verdelot,Ultimi miei sospiri,75.0,"['10/2.5', '10/4.5', '13/4.5', '14/2.5', '14/4.5']","['P8', 'P-8', 'P-5', 'P8']","[75.0, 79.0, 103.0, 107.0, 111.0]","[('-2', '1', '4', '-2')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
12,Philippe Verdelot,Ultimi miei sospiri,76.0,"['10/3.0', '11/1.0', '14/1.0', '14/3.0', '15/1.0']","['P8', 'P-8', 'P-5', 'P8']","[76.0, 80.0, 104.0, 108.0, 112.0]","[('1', '4', '-2', '-2')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
13,Philippe Verdelot,Ultimi miei sospiri,124.0,"['16/3.0', '20/1.0']",['P-5'],"[124.0, 152.0]","[('3', '1', '-2', '-3'), ('2', '1', '-2', '-3')]",[28.0],"['Cantus', 'Quintus']",FUGA,2,True,1.0,Altus,1
14,Philippe Verdelot,Ultimi miei sospiri,128.0,"['17/1.0', '18/1.0', '19/3.0', '20/1.0', '21/1.0']","['m-6', 'P-4', 'M-2', 'm7']","[128.0, 136.0, 148.0, 152.0, 160.0]","[('1', '-2', '-3', '2'), ('2', '-2', '-3', '2')]","[8.0, 12.0, 4.0, 8.0]","['Cantus', 'Tenor', 'Tenor', 'Sextus', 'Quintus']",FUGA,5,True,1.0,Bassus,4
15,Philippe Verdelot,Ultimi miei sospiri,134.0,"['17/4.0', '18/4.0', '20/4.0', '21/4.0']","['P-4', 'P-5', 'm7']","[134.0, 142.0, 158.0, 166.0]","[('-2', '-3', '2', '-2')]","[8.0, 16.0, 8.0]","['Altus', 'Tenor', 'Sextus', 'Quintus']",ID,4,False,1.0,Bassus,1
16,Philippe Verdelot,Ultimi miei sospiri,136.0,"['18/1.0', '21/1.0']",['P-8'],"[136.0, 160.0]","[('-3', '2', '2', '-2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,False,0.0,,1
17,Philippe Verdelot,Ultimi miei sospiri,140.0,"['18/3.0', '21/3.0']",['P-8'],"[140.0, 164.0]","[('2', '2', '-2', '-2'), ('1', '2', '-2', '-2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True,0.0,,1
18,Philippe Verdelot,Ultimi miei sospiri,144.0,"['19/1.0', '22/1.0']",['P-8'],"[144.0, 168.0]","[('2', '-2', '-2', '2'), ('1', '-2', '-2', '2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True,0.0,,1
19,Philippe Verdelot,Ultimi miei sospiri,184.0,"['24/1.0', '24/3.0', '25/1.0', '27/3.0', '28/1.0', '28/3.0', '35/4.0', '36/2.0', '38/2.0', '38/4.0', '42/2.0', '42/4.0', '50/3.0', '50/4.5', '51/1.0', '51/3.0']","['P8', 'P-5', 'P-4', 'P-5', 'P8', 'P4', 'M-2', 'P4', 'm-2', 'A-4', 'P-4', 'M10', 'M-2', 'M-2', 'P-4']","[184.0, 188.0, 192.0, 212.0, 216.0, 220.0, 278.0, 282.0, 298.0, 302.0, 330.0, 334.0, 396.0, 399.0, 400.0, 404.0]","[('-2', '-2', '-2', '-2')]","[4.0, 4.0, 20.0, 4.0, 4.0, 58.0, 4.0, 16.0, 4.0, 28.0, 4.0, 62.0, 3.0, 1.0, 4.0]","['Sextus', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Quintus', 'Quintus', 'Quintus', 'Cantus', 'Cantus', 'Quintus', 'Tenor', 'Cantus', 'Cantus', 'Cantus', 'Altus']",FUGA,16,False,1.0,Altus,10
20,Philippe Verdelot,Ultimi miei sospiri,186.0,"['24/2.0', '24/3.0', '25/4.0', '26/2.0', '27/3.0', '28/1.0', '29/2.0', '29/4.0', '30/2.0', '33/1.0', '35/3.0', '37/2.0', '37/4.0', '38/1.0', '38/2.0', '41/2.0', '41/4.0', '42/1.0', '42/2.0', '45/4.0', '50/2.0', '51/2.0', '56/3.5']","['m-7', 'P-5', 'P8', 'P-11', 'P8', 'P-5', 'P-5', 'P8', 'P4', 'M3', 'P1', 'M-7', 'P8', 'm-3', 'M-6', 'P-5', 'P8', 'm-3', 'm-3', 'm13', 'M-6', 'd-5']","[186.0, 188.0, 198.0, 202.0, 212.0, 216.0, 226.0, 230.0, 234.0, 256.0, 276.0, 290.0, 294.0, 296.0, 298.0, 322.0, 326.0, 328.0, 330.0, 358.0, 394.0, 402.0, 445.0]","[('2', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[2.0, 10.0, 4.0, 10.0, 4.0, 10.0, 4.0, 4.0, 22.0, 20.0, 14.0, 4.0, 2.0, 2.0, 24.0, 4.0, 2.0, 2.0, 28.0, 36.0, 8.0, 43.0]","['Cantus', 'Altus', 'Sextus', 'Cantus', 'Bassus', 'Quintus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Quintus', 'Altus', 'Sextus', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Sextus', 'Cantus', 'Altus', 'Tenor']",FUGA,23,True,0.0,,18
21,Philippe Verdelot,Ultimi miei sospiri,190.0,"['24/4.0', '25/2.0', '28/2.0', '28/4.0', '29/2.0']","['P8', 'P-8', 'P-5', 'P8']","[190.0, 194.0, 218.0, 222.0, 226.0]","[('-2', '-2', '-2', '1')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
22,Philippe Verdelot,Ultimi miei sospiri,192.0,"['25/1.0', '25/3.0', '28/3.0', '29/1.0', '29/3.0']","['P8', 'P-8', 'P-5', 'P8']","[192.0, 196.0, 220.0, 224.0, 228.0]","[('-2', '-2', '1', '4')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
23,Philippe Verdelot,Ultimi miei sospiri,195.0,"['25/2.5', '25/4.5', '28/4.5', '29/2.5', '29/4.5']","['P8', 'P-8', 'P-5', 'P8']","[195.0, 199.0, 223.0, 227.0, 231.0]","[('-2', '1', '4', '-2')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
24,Philippe Verdelot,Ultimi miei sospiri,196.0,"['25/3.0', '26/1.0', '29/1.0', '29/3.0', '30/1.0']","['P8', 'P-8', 'P-5', 'P8']","[196.0, 200.0, 224.0, 228.0, 232.0]","[('1', '4', '-2', '-2')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,False,0.0,,4
25,Philippe Verdelot,Ultimi miei sospiri,244.0,"['31/3.0', '34/4.5']",['M-9'],"[244.0, 271.0]","[('-3', '2', '-3', '2'), ('-2', '2', '-3', '2')]",[27.0],"['Cantus', 'Tenor']",FUGA,2,True,0.0,,1
