,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,0.0,"['1/1.0', '3/1.0', '6/3.0', '8/3.0']","['P-4', 'P-5', 'P-4']","[0.0, 16.0, 44.0, 60.0]","['5, -2, 2', '4, -2, 2']","[16.0, 28.0, 16.0]","['Superius', 'Contratenor', 'Tenor', 'Bassus']",ID,4,True
3,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,16.0,"['3/1.0', '8/3.0']",['P-8'],"[16.0, 60.0]","['4, -2, 2', '3, -2, 2']",[44.0],"['Contratenor', 'Bassus']",FUGA,2,True
4,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '11/2.0', '13/2.0', '18/4.0']","['P-8', 'P-5', 'P5']","[38.0, 82.0, 98.0, 142.0]","['-3, 2, -2', '-3, 2, -3']","[44.0, 16.0, 44.0]","['Superius', 'Tenor', 'Bassus', 'Bassus']",ID,4,True
5,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '12/2.0', '15/2.0', '21/4.0']","['P1', 'P-8', 'P8']","[38.0, 90.0, 114.0, 166.0]","['-3, 2, -2', '-3, 2, -3']","[52.0, 24.0, 52.0]","['Superius', 'Superius', 'Tenor', 'Superius']",ID,4,True
6,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '13/4.0', '21/4.0']","['P-4', 'P4']","[38.0, 102.0, 166.0]","['-3, 2, -2', '-3, 2, -3']","[64.0, 64.0]","['Superius', 'Contratenor', 'Superius']",PEN,3,True
7,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '13/2.0', '20/4.0']","['P-12', 'P5']","[38.0, 98.0, 158.0]","['-3, 2, -2', '-3, 2, -3']","[60.0, 60.0]","['Superius', 'Bassus', 'Tenor']",PEN,3,True
8,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '12/2.0', '18/4.0']","['P1', 'P-8']","[38.0, 90.0, 142.0]","['-3, 2, -2', '-3, 2, -3']","[52.0, 52.0]","['Superius', 'Superius', 'Bassus']",PEN,3,True
9,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '11/2.0', '13/4.0', '19/2.0']","['P-8', 'P5', 'M-2']","[38.0, 82.0, 102.0, 146.0]","['-3, 2, -2', '-3, 2, -3']","[44.0, 20.0, 44.0]","['Superius', 'Tenor', 'Contratenor', 'Contratenor']",ID,4,True
11,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '11/2.0', '15/2.0', '20/4.0']","['P-8', 'P1', 'P1']","[38.0, 82.0, 114.0, 158.0]","['-3, 2, -2', '-3, 2, -3']","[44.0, 32.0, 44.0]","['Superius', 'Tenor', 'Tenor', 'Tenor']",ID,4,True
16,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,38.0,"['5/4.0', '11/2.0', '12/2.0', '13/2.0', '13/4.0', '15/2.0', '17/2.0', '18/4.0', '19/2.0', '20/4.0', '21/4.0', '22/2.0']","['P-8', 'P8', 'P-12', 'M9', 'P-5', 'P8', 'P-8', 'P4', 'P-4', 'P8', 'P-5']","[38.0, 82.0, 90.0, 98.0, 102.0, 114.0, 130.0, 142.0, 146.0, 158.0, 166.0, 170.0]","['-3, 2, -2', '-3, 2, -3']","[44.0, 8.0, 8.0, 4.0, 12.0, 16.0, 12.0, 4.0, 12.0, 8.0, 4.0]","['Superius', 'Tenor', 'Superius', 'Bassus', 'Contratenor', 'Tenor', 'Superius', 'Bassus', 'Contratenor', 'Tenor', 'Superius', 'Contratenor']",FUGA,12,True
19,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,82.0,"['11/2.0', '12/2.0', '13/2.0']","['P8', 'P-12']","[82.0, 90.0, 98.0]","['-3, 2, -2', '-3, 2, -3']","[8.0, 8.0]","['Tenor', 'Superius', 'Bassus']",PEN,3,True
20,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,82.0,"['11/2.0', '13/2.0', '15/2.0']","['P-5', 'P5']","[82.0, 98.0, 114.0]","['-3, 2, -2', '-3, 2, -3']","[16.0, 16.0]","['Tenor', 'Bassus', 'Tenor']",PEN,3,True
21,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,82.0,"['11/2.0', '15/2.0', '19/2.0']","['P1', 'P4']","[82.0, 114.0, 146.0]","['-3, 2, -2', '-3, 2, -3']","[32.0, 32.0]","['Tenor', 'Tenor', 'Contratenor']",PEN,3,True
22,Pierre de Manchicourt,Missa Quo abiit dilectus tuus: Kyrie,82.0,"['11/2.0', '13/2.0', '15/2.0', '17/2.0', '19/2.0']","['P-5', 'P5', 'P8', 'P-5']","[82.0, 98.0, 114.0, 130.0, 146.0]","['-3, 2, -2', '-3, 2, -3']","[16.0, 16.0, 16.0, 16.0]","['Tenor', 'Bassus', 'Tenor', 'Superius', 'Contratenor']",PEN,5,True
