,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries
0,Philippe Verdelot,Ultimi miei sospiri,0.0,"['1/1.0', '2/1.0', '4/3.0', '5/1.0']","['P-8', 'P-4', 'P8', 'P-12']","[0.0, 8.0, 28.0, 32.0, 32.0]","[('3', '-2', '-3', '2'), ('5', '-2', '-3', '2'), ('4', '-2', '-3', '2'), ('4', '-2', '-2', '2')]","[8.0, 20.0, 4.0, 0.0]","['Cantus', 'Tenor', 'Sextus', 'Quintus', 'Bassus']",FUGA,5,True
1,Philippe Verdelot,Ultimi miei sospiri,0.0,"['1/1.0', '4/3.0', '5/1.0']","['m-7', 'P-5', 'P8']","[0.0, 28.0, 28.0, 32.0]","[('3', '-2', '-3', '2'), ('2', '-2', '-3', '2'), ('4', '-2', '-3', '2')]","[28.0, 0.0, 4.0]","['Cantus', 'Tenor', 'Sextus', 'Quintus']",FUGA,4,True
2,Philippe Verdelot,Ultimi miei sospiri,0.0,"['1/1.0', '4/1.0', '4/3.0', '5/1.0', '7/1.0']","['P1', 'm-7', 'P4', 'P-5']","[0.0, 24.0, 28.0, 32.0, 48.0]","[('3', '-2', '-3', '2'), ('2', '-2', '-2', '2'), ('2', '-2', '-3', '2'), ('2', '-3', '-3', '2')]","[24.0, 4.0, 4.0, 16.0]","['Cantus', 'Cantus', 'Tenor', 'Quintus', 'Tenor']",FUGA,5,True
3,Philippe Verdelot,Ultimi miei sospiri,8.0,"['2/1.0', '3/1.0', '5/1.0', '6/1.0']","['P-4', 'P-5', 'm7', 'm-10']","[8.0, 16.0, 32.0, 40.0, 40.0]","[('-2', '-3', '2', '-2'), ('-2', '-2', '2', '-2'), ('-2', '-2', '2', '-3')]","[8.0, 16.0, 8.0, 0.0]","['Altus', 'Tenor', 'Sextus', 'Quintus', 'Bassus']",FUGA,5,True
4,Philippe Verdelot,Ultimi miei sospiri,8.0,"['2/1.0', '5/1.0']",['P-8'],"[8.0, 32.0]","[('-2', '-3', '2', '2'), ('-2', '-2', '2', '3'), ('-2', '-3', '2', '3')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True
5,Philippe Verdelot,Ultimi miei sospiri,8.0,"['2/1.0', '4/3.0', '5/1.0']","['m-2', 'M-7']","[8.0, 28.0, 32.0]","[('-2', '-3', '2', '2'), ('-2', '-2', '2', '2'), ('-3', '-3', '2', '2'), ('-2', '-3', '2', '3')]","[20.0, 4.0]","['Cantus', 'Cantus', 'Tenor']",FUGA,3,True
6,Philippe Verdelot,Ultimi miei sospiri,8.0,"['2/1.0', '4/3.0', '5/1.0', '11/1.0', '17/1.0', '19/3.0', '20/1.0', '26/1.0']","['m-2', 'M-7', 'P1', 'P8', 'm-2', 'M-7', 'P1']","[8.0, 28.0, 32.0, 80.0, 128.0, 148.0, 152.0, 200.0]","[('-2', '-3', '2', '2'), ('-2', '-2', '2', '2'), ('-2', '-2', '3', '2'), ('-2', '-2', '2', '3'), ('-3', '-2', '2', '2')]","[20.0, 4.0, 48.0, 48.0, 20.0, 4.0, 48.0]","['Cantus', 'Cantus', 'Tenor', 'Altus', 'Cantus', 'Cantus', 'Tenor', 'Altus']",FUGA,8,True
7,Philippe Verdelot,Ultimi miei sospiri,16.0,"['3/1.0', '6/1.0']",['P-8'],"[16.0, 40.0]","[('-3', '2', '2', '-2'), ('-2', '2', '3', '-2'), ('-2', '2', '2', '-2'), ('-2', '2', '2', '-3')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True
8,Philippe Verdelot,Ultimi miei sospiri,20.0,"['3/3.0', '6/3.0']",['P-8'],"[20.0, 44.0]","[('2', '2', '-2', '-2'), ('2', '3', '-2', '-2'), ('2', '2', '-3', '-2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True
9,Philippe Verdelot,Ultimi miei sospiri,24.0,"['4/1.0', '7/1.0']",['P-8'],"[24.0, 48.0]","[('2', '-2', '-2', '2'), ('2', '-2', '-2', '3')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True
10,Philippe Verdelot,Ultimi miei sospiri,24.0,"['4/1.0', '4/3.0', '7/1.0']","['m-7', 'M-2']","[24.0, 28.0, 48.0]","[('2', '-2', '-2', '2'), ('2', '-2', '-3', '2'), ('2', '-3', '-2', '2'), ('2', '-2', '-2', '3')]","[4.0, 20.0]","['Cantus', 'Tenor', 'Tenor']",FUGA,3,True
11,Philippe Verdelot,Ultimi miei sospiri,28.0,"['4/3.0', '11/1.0', '19/3.0', '26/1.0']","['M-7', 'M7', 'M-7']","[28.0, 80.0, 148.0, 200.0]","[('-2', '-2', '2', '2'), ('-2', '-2', '3', '2')]","[52.0, 68.0, 52.0]","['Cantus', 'Altus', 'Cantus', 'Altus']",ID,4,True
