,piece_title,pattern_matched,predicted_type,voice_list,measure_beat_list,time_intervals,entry_intervals,start_offset
0,Quo abiit dilectus tuus,"(-2, 2, 2, 2)",Fuga,"['Superior', 'Contratenor', 'Bassus', 'Tenor', 'Bassus']","['1/3.0', '3/3.0', '8/4.0', '10/3.0', '12/3.0']",[16. 42. 14. 16.],"['P-5', 'M-6', 'M3', 'P-5']",4.0
1,Quo abiit dilectus tuus,"(2, -2, -2, 2)",Fuga,"['Contratenor', 'Superior', 'Contratenor', 'Bassus', 'Contratenor', 'Tenor', 'Contratenor', 'Superior', 'Tenor']","['5/2.75', '6/1.0', '7/3.0', '8/1.0', '8/4.5', '15/1.0', '17/1.0', '18/3.0', '19/4.0']",[ 4.5 12.   4.   7.  49.  16.  12.  10. ],"['m3', 'd-5', 'A-4', 'M6', 'M-6', 'P5', 'P4', 'P-8']",35.5
2,Quo abiit dilectus tuus,"(-3, 2, -2, -2)",Fuga,"['Superior', 'Contratenor', 'Bassus', 'Superior', 'Tenor', 'Bassus', 'Contratenor', 'Superior', 'Tenor']","['5/4.0', '7/2.0', '7/4.0', '10/4.0', '14/4.0', '16/2.0', '16/4.0', '18/2.0', '19/2.0']",[12.  4. 24. 32. 12.  4. 12.  8.],"['P-5', 'P-4', 'P8', 'P-8', 'P-5', 'M9', 'P4', 'P-8']",38.0
3,Quo abiit dilectus tuus,"(-2, -2, 2, 2)",ID,"['Superior', 'Bassus', 'Tenor', 'Contratenor']","['6/2.0', '8/2.0', '15/2.0', '17/2.0']",[16. 56. 16.],"['P-8', 'P1', 'P5']",42.0
4,Quo abiit dilectus tuus,"(-2, -2, -2, -2)",Fuga,"['Superior', 'Superior', 'Bassus', 'Bassus', 'Bassus', 'Bassus']","['8/3.0', '13/4.0', '17/4.0', '18/1.0', '22/1.0', '22/3.0']",[42. 32.  2. 32.  4.],"['m3', 'm-10', 'M-2', 'M-2', 'm-2']",60.0
5,Quo abiit dilectus tuus,"(2, 2, -2, -2)",Fuga,"['Contratenor', 'Bassus', 'Bassus', 'Tenor', 'Superior']","['8/4.0', '10/4.0', '13/3.0', '16/1.0', '26/2.0']",[16. 22. 20. 82.],"['m-7', 'P1', 'M2', 'm9']",62.0
6,Quo abiit dilectus tuus,"(2, 2, 2, -2)",Fuga,"['Bassus', 'Bassus']","['9/1.0', '13/2.0']",[34.],['M-3'],64.0
7,Quo abiit dilectus tuus,"(-2, -2, -2, 2)",Fuga,"['Contratenor', 'Bassus', 'Bassus']","['10/2.0', '14/1.0', '18/2.0']",[30. 34.],"['P-8', 'P1']",74.0
8,Quo abiit dilectus tuus,"(2, -2, -2, -2)",Fuga,"['Contratenor', 'Superior', 'Bassus', 'Tenor', 'Contratenor']","['13/2.0', '13/3.0', '13/4.0', '16/2.0', '32/4.5']",[  2.   2.  20. 133.],"['P5', 'P-12', 'm2', 'M6']",98.0
9,Quo abiit dilectus tuus,"(-2, -2, 2, -5)",Fuga,"['Superior', 'Bassus']","['14/4.0', '18/4.0']",[32.],['m-9'],110.0
10,Quo abiit dilectus tuus,"(3, -2, -2, -2)",Fuga,"['Contratenor', 'Superior', 'Bassus', 'Tenor', 'Contratenor']","['22/4.0', '24/2.0', '26/4.0', '28/2.0', '29/4.0']",[12. 20. 12. 12.],"['P5', 'P-12', 'P5', 'P5']",174.0
11,Quo abiit dilectus tuus,"(-2, -2, -2, -3)",ID,"['Contratenor', 'Superior', 'Bassus', 'Tenor']","['23/1.0', '24/3.0', '27/1.0', '28/3.0']",[12. 20. 12.],"['P5', 'P-12', 'P5']",176.0
