,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Parallel_Entries,Parallel_Voice,Count_Non_Overlaps
0,Philippe Verdelot,Ultimi miei sospiri,0.0,"['1/1.0', '2/1.0', '4/3.0', '5/1.0']","['P-8', 'P-4', 'P8']","[0.0, 8.0, 28.0, 32.0]","[('3', '-2', '-3', '2'), ('8', '-2', '-3', '2'), ('5', '-2', '-3', '2'), ('4', '-2', '-3', '2'), ('2', '-2', '-3', '2')]","[8.0, 20.0, 4.0]","['Cantus', 'Tenor', 'Sextus', 'Quintus']",FUGA,4,True,1.0,Bassus,0
1,Philippe Verdelot,Ultimi miei sospiri,62.0,"['8/4.0', '9/2.0', '9/3.0', '12/2.0', '12/3.0', '13/1.0']","['P11', 'm-7', 'P-5', 'P-4', 'P8']","[62.0, 66.0, 68.0, 90.0, 92.0, 96.0]","[('5', '-2', '-2', '-2'), ('2', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('8', '-2', '-2', '-2')]","[4.0, 2.0, 22.0, 2.0, 4.0]","['Sextus', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Quintus']",FUGA,6,True,0.0,,0
2,Philippe Verdelot,Ultimi miei sospiri,124.0,"['16/3.0', '17/1.0', '19/3.0', '20/1.0']","['M-9', 'P-4', 'P8']","[124.0, 128.0, 148.0, 152.0]","[('3', '-2', '-3', '2'), ('8', '-2', '-3', '2'), ('5', '-2', '-3', '2'), ('4', '-2', '-3', '2'), ('2', '-2', '-3', '2')]","[4.0, 20.0, 4.0]","['Cantus', 'Tenor', 'Sextus', 'Quintus']",ID,4,True,1.0,Bassus,0
3,Philippe Verdelot,Ultimi miei sospiri,182.0,"['23/4.0', '24/2.0', '24/3.0', '27/2.0', '27/3.0', '28/1.0']","['P11', 'm-7', 'P-5', 'P-4', 'P8']","[182.0, 186.0, 188.0, 210.0, 212.0, 216.0]","[('5', '-2', '-2', '-2'), ('2', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('8', '-2', '-2', '-2')]","[4.0, 2.0, 22.0, 2.0, 4.0]","['Sextus', 'Cantus', 'Altus', 'Tenor', 'Bassus', 'Quintus']",FUGA,6,True,0.0,,0
4,Philippe Verdelot,Ultimi miei sospiri,284.0,"['36/3.0', '40/3.0']",['P-5'],"[284.0, 316.0]","[('-3', '4', '-2', '-2')]",[32.0],"['Cantus', 'Quintus']",FUGA,2,False,0.0,,0
5,Philippe Verdelot,Ultimi miei sospiri,294.0,"['37/4.0', '40/2.0', '41/4.0']","['P1', 'P-5']","[294.0, 314.0, 326.0]","[('5', '-2', '-2', '-2'), ('2', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('8', '-2', '-2', '-2')]","[20.0, 12.0]","['Sextus', 'Tenor', 'Bassus']",FUGA,3,True,0.0,,0
6,Philippe Verdelot,Ultimi miei sospiri,344.0,"['44/1.0', '45/2.0']",['P4'],"[344.0, 354.0]","[('4', '-2', '-2', '4')]",[10.0],"['Sextus', 'Tenor']",FUGA,2,False,0.0,,0
7,Philippe Verdelot,Ultimi miei sospiri,374.0,"['47/4.0', '49/2.0', '53/1.0', '53/4.0', '56/1.0', '56/3.0']","['M-6', 'P4', 'M3', 'P4', 'P-4']","[374.0, 386.0, 416.0, 422.0, 440.0, 444.0]","[('2', '-2', '2', '-3'), ('4', '-2', '2', '-3'), ('-2', '-2', '2', '-3')]","[12.0, 30.0, 6.0, 18.0, 4.0]","['Tenor', 'Sextus', 'Tenor', 'Quintus', 'Cantus', 'Altus']",FUGA,6,True,1.0,Sextus,1
8,Philippe Verdelot,Ultimi miei sospiri,474.0,"['60/2.0', '65/3.0']",['m6'],"[474.0, 516.0]","[('3', '-3', '2', '2'), ('-2', '-3', '2', '2')]",[42.0],"['Tenor', 'Quintus']",FUGA,2,True,0.0,,1
0,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,0.0,"['1/1.0', '2/1.0', '4/3.0', '5/1.0', '6/2.0', '11/4.0']","['P-8', 'P-4', 'P-5', 'P12', 'P1']","[0.0, 8.0, 28.0, 32.0, 42.0, 86.0]","[('3', '-2', '-3', '2'), ('8', '-2', '-3', '2'), ('5', '-2', '-3', '2'), ('4', '-2', '-3', '2')]","[8.0, 20.0, 4.0, 10.0, 44.0]","['Cantus', 'Quintus', 'Tenor', 'Bassus', 'Altus', 'Cantus']",FUGA,6,True,1.0,Altus,1
1,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,76.0,"['10/3.0', '13/2.0', '13/3.0']","['P1', 'P-4']","[76.0, 98.0, 100.0]","[('4', '-2', '-2', '-2'), ('5', '-2', '-2', '-2'), ('-2', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[22.0, 2.0]","['Bassus', 'Tenor', 'Bassus']",FUGA,3,True,0.0,,0
2,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,192.0,"['25/1.0', '25/2.0', '26/1.0', '28/3.0', '29/1.0']","['P-5', 'P1', 'P-8', 'P8']","[192.0, 194.0, 200.0, 220.0, 224.0]","[('4', '-2', '-2', '-2'), ('5', '-2', '-2', '-2'), ('-2', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[2.0, 6.0, 20.0, 4.0]","['Cantus', 'Tenor', 'Quintus', 'Bassus', 'Altus']",FUGA,5,True,0.0,,0
3,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,430.0,"['54/4.0', '62/1.0']",['P1'],"[430.0, 488.0]","[('-2', '2', '-2', '-2'), ('2', '2', '-2', '-2'), ('3', '2', '-2', '-2')]",[58.0],"['Tenor', 'Tenor']",FUGA,2,True,0.0,,1
4,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,434.0,"['55/2.0', '59/2.0', '62/2.0']","['P8', 'P-8']","[434.0, 466.0, 490.0]","[('2', '-3', '2', '-2')]","[32.0, 24.0]","['Bassus', 'Cantus', 'Bassus']",FUGA,3,False,0.0,,0
5,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,514.0,"['65/2.0', '69/2.0']",['P-12'],"[514.0, 546.0]","[('2', '2', '2', '-4'), ('3', '2', '2', '-4')]",[32.0],"['Altus', 'Bassus']",FUGA,2,True,0.0,,0
6,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,600.0,"['76/1.0', '80/4.0']",['P-8'],"[600.0, 638.0]","[('-2', '2', '-2', '-2'), ('2', '2', '-2', '-2'), ('3', '2', '-2', '-2')]",[38.0],"['Altus', 'Quintus']",FUGA,2,True,0.0,,0
7,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,636.0,"['80/3.0', '84/2.0', '84/3.0']","['P8', 'P5']","[636.0, 666.0, 668.0]","[('-3', '4', '-2', '-2'), ('-8', '4', '-2', '-2'), ('-2', '4', '-2', '-2')]","[30.0, 2.0]","['Bassus', 'Tenor', 'Cantus']",FUGA,3,True,0.0,,0
8,Annibale Padovano,MIssa Ultimi mieie sospiri: Kyrie,724.0,"['91/3.0', '92/2.0']",['P5'],"[724.0, 730.0]","[('4', '-2', '2', '-3'), ('-2', '-2', '2', '-3'), ('3', '-2', '2', '-3')]",[6.0],"['Tenor', 'Altus']",FUGA,2,True,0.0,,0
0,Annibale Padovano,MIssa Ultimi mieie sospiri: Gloria,0.0,"['1/1.0', '1/3.0', '8/1.0']","['P-4', 'P-8']","[0.0, 4.0, 56.0]","[('5', '-2', '-3', '2'), ('3', '-2', '-3', '2')]","[4.0, 52.0]","['Cantus', 'Altus', 'Tenor']",FUGA,3,True,1.0,Bassus,0
1,Annibale Padovano,MIssa Ultimi mieie sospiri: Gloria,106.0,"['14/2.0', '20/1.0', '20/4.0']","['P-8', 'P8']","[106.0, 152.0, 158.0]","[('4', '-2', '-2', '-2'), ('2', '-2', '-2', '-2'), ('3', '-2', '-2', '-2'), ('-2', '-2', '-2', '-2')]","[46.0, 6.0]","['Quintus', 'Bassus', 'Quintus']",FUGA,3,True,0.0,,0
2,Annibale Padovano,MIssa Ultimi mieie sospiri: Gloria,222.0,"['28/4.0', '29/2.0']",['P-5'],"[222.0, 226.0]","[('-5', '3', '2', '2'), ('-8', '3', '2', '2')]",[4.0],"['Tenor', 'Bassus']",FUGA,2,True,0.0,,0
3,Annibale Padovano,MIssa Ultimi mieie sospiri: Gloria,298.0,"['38/2.0', '39/2.0']",['P5'],"[298.0, 306.0]","[('4', '-2', '-2', '-2'), ('8', '-2', '-2', '-2'), ('2', '-2', '-2', '-2'), ('3', '-2', '-2', '-2'), ('-2', '-2', '-2', '-2')]",[8.0],"['Bassus', 'Tenor']",FUGA,2,True,0.0,,0
