,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Parallel_Entries,Parallel_Voice,Count_Non_Overlaps
0,Philippe Verdelot,Ultimi miei sospiri,0.0,"['1/1.0', '2/1.0', '4/3.0', '5/1.0']","['P-8', 'M2', 'P4']","[0.0, 8.0, 28.0, 32.0]","[('3', '-2', '-3', '2'), ('8', '-2', '-3', '2'), ('5', '-2', '-3', '2'), ('2', '-2', '-3', '2'), ('4', '-2', '-3', '2'), ('6', '-2', '-3', '2')]","[8.0, 20.0, 4.0]","['Cantus', 'Tenor', 'Tenor', 'Quintus']",FUGA,4,True,1.0,Bassus,3
1,Philippe Verdelot,Ultimi miei sospiri,8.0,"['2/1.0', '3/1.0', '5/1.0', '6/1.0']","['P-4', 'P-5', 'm7']","[8.0, 16.0, 32.0, 40.0]","[('-2', '-3', '2', '-2'), ('2', '-3', '2', '-2')]","[8.0, 16.0, 8.0]","['Altus', 'Tenor', 'Sextus', 'Quintus']",ID,4,True,1.0,Bassus,1
2,Philippe Verdelot,Ultimi miei sospiri,16.0,"['3/1.0', '6/1.0', '11/3.0', '18/1.0', '21/1.0', '26/3.0']","['P-8', 'M-2', 'M9', 'P-8', 'M-2']","[16.0, 40.0, 84.0, 136.0, 160.0, 204.0]","[('-3', '2', '2', '-2'), ('3', '2', '2', '-2'), ('2', '2', '2', '-2'), ('-2', '2', '2', '-2')]","[24.0, 44.0, 52.0, 24.0, 44.0]","['Cantus', 'Tenor', 'Altus', 'Cantus', 'Tenor', 'Altus']",FUGA,6,True,0.0,,5
3,Philippe Verdelot,Ultimi miei sospiri,20.0,"['3/3.0', '6/3.0']",['P-8'],"[20.0, 44.0]","[('2', '2', '-2', '-2'), ('-2', '2', '-2', '-2'), ('-3', '2', '-2', '-2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True,0.0,,1
4,Philippe Verdelot,Ultimi miei sospiri,24.0,"['4/1.0', '7/1.0']",['P-8'],"[24.0, 48.0]","[('2', '-2', '-2', '2'), ('-2', '-2', '-2', '2'), ('4', '-2', '-2', '2')]",[24.0],"['Cantus', 'Tenor']",FUGA,2,True,0.0,,1
5,Philippe Verdelot,Ultimi miei sospiri,52.0,"['7/3.0', '12/1.5']",['m3'],"[52.0, 89.0]","[('-2', '-2', '2', '-4'), ('2', '-2', '2', '-4'), ('4', '-2', '2', '-4')]",[37.0],"['Tenor', 'Altus']",FUGA,2,True,0.0,,1
6,Philippe Verdelot,Ultimi miei sospiri,62.0,"['8/4.0', '9/1.0', '9/2.0', '9/3.0', '10/1.0', '10/3.0', '11/1.0', '12/2.0', '12/3.0', '13/1.0', '13/3.0', '14/1.0', '14/3.0', '15/1.0', '23/4.0', '24/1.0', '24/2.0', '24/3.0', '25/1.0', '25/3.0', '26/1.0', '27/2.0', '27/3.0', '28/1.0', '28/3.0', '29/1.0', '29/3.0', '30/1.0', '33/1.0', '35/3.0', '35/4.0', '36/2.0', '37/1.0', '37/4.0', '38/1.0', '38/2.0', '38/4.0', '40/2.0', '41/4.0', '42/1.0', '42/2.0', '42/4.0', '45/3.0', '50/2.0', '50/3.0', '50/4.5', '51/1.0', '51/2.0', '51/3.0', '56/3.5', '65/1.0', '66/1.0', '66/4.0', '67/1.0', '67/2.5', '67/3.0']","['P5', 'm7', 'M2', 'P-5', 'P-8', 'P8', 'P-8', 'P5', 'P1', 'P4', 'P-8', 'P-5', 'P8', 'P-4', 'P5', 'm7', 'M2', 'P-5', 'P-8', 'P8', 'P-8', 'P5', 'P1', 'P4', 'P-8', 'P-5', 'P8', 'P4', 'M3', 'm3', 'M-2', 'm-2', 'M-7', 'P8', 'P4', 'm-2', 'M-10', 'P-5', 'P8', 'P4', 'P-4', 'd-5', 'm13', 'M2', 'M-2', 'M-2', 'P-5', 'M2', 'm-6', 'P4', 'P1', 'M-6', 'M9', 'm-3', 'M-7']","[62.0, 64.0, 66.0, 68.0, 72.0, 76.0, 80.0, 90.0, 92.0, 96.0, 100.0, 104.0, 108.0, 112.0, 182.0, 184.0, 186.0, 188.0, 192.0, 196.0, 200.0, 210.0, 212.0, 216.0, 220.0, 224.0, 228.0, 232.0, 256.0, 276.0, 278.0, 282.0, 288.0, 294.0, 296.0, 298.0, 302.0, 314.0, 326.0, 328.0, 330.0, 334.0, 356.0, 394.0, 396.0, 399.0, 400.0, 402.0, 404.0, 445.0, 512.0, 520.0, 526.0, 528.0, 531.0, 532.0]","[('5', '-2', '-2', '-2'), ('-2', '-2', '-2', '-2'), ('2', '-2', '-2', '-2'), ('4', '-2', '-2', '-2'), ('3', '-2', '-2', '-2')]","[2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 10.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 70.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 10.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 24.0, 20.0, 2.0, 4.0, 6.0, 6.0, 2.0, 2.0, 4.0, 12.0, 12.0, 2.0, 2.0, 4.0, 22.0, 38.0, 2.0, 3.0, 1.0, 2.0, 2.0, 41.0, 67.0, 8.0, 6.0, 2.0, 3.0, 1.0]","['Sextus', 'Sextus', 'Cantus', 'Cantus', 'Altus', 'Sextus', 'Cantus', 'Tenor', 'Tenor', 'Quintus', 'Quintus', 'Tenor', 'Bassus', 'Quintus', 'Sextus', 'Sextus', 'Cantus', 'Cantus', 'Altus', 'Sextus', 'Cantus', 'Tenor', 'Tenor', 'Quintus', 'Quintus', 'Tenor', 'Bassus', 'Quintus', 'Tenor', 'Quintus', 'Quintus', 'Quintus', 'Altus', 'Sextus', 'Cantus', 'Cantus', 'Cantus', 'Tenor', 'Bassus', 'Quintus', 'Quintus', 'Tenor', 'Sextus', 'Cantus', 'Cantus', 'Cantus', 'Cantus', 'Altus', 'Altus', 'Tenor', 'Altus', 'Tenor', 'Sextus', 'Cantus', 'Quintus', 'Bassus']",FUGA,56,True,1.0,Tenor,36
7,Philippe Verdelot,Ultimi miei sospiri,70.0,"['9/4.0', '10/2.0', '13/2.0', '13/4.0', '14/2.0', '14/3.0']","['P8', 'P-8', 'P-5', 'P8', 'P-4']","[70.0, 74.0, 98.0, 102.0, 106.0, 108.0]","[('-2', '-2', '-2', '4'), ('4', '-2', '-2', '4')]","[4.0, 24.0, 4.0, 4.0, 2.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus', 'Tenor']",FUGA,6,True,0.0,,5
8,Philippe Verdelot,Ultimi miei sospiri,72.0,"['10/1.0', '10/3.0', '13/3.0', '14/1.0', '14/3.0', '14/4.5']","['P8', 'P-8', 'P-5', 'P8', 'P-4']","[72.0, 76.0, 100.0, 104.0, 108.0, 111.0]","[('-2', '-2', '4', '-2')]","[4.0, 24.0, 4.0, 4.0, 3.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus', 'Tenor']",FUGA,6,False,0.0,,5
9,Philippe Verdelot,Ultimi miei sospiri,75.0,"['10/2.5', '10/4.5', '13/4.5', '14/2.5', '14/4.5']","['P8', 'P-8', 'P-5', 'P8']","[75.0, 79.0, 103.0, 107.0, 111.0]","[('-2', '4', '-2', '-2'), ('-3', '4', '-2', '-2'), ('-5', '4', '-2', '-2')]","[4.0, 24.0, 4.0, 4.0]","['Sextus', 'Cantus', 'Tenor', 'Bassus', 'Quintus']",FUGA,5,True,0.0,,4
