,CadType,Evaded,LeadingTones,Low,RelLow,Tone,RelTone,TSig,Measure,Beat,Progress,SinceLast,ToNext,Composer,Title
0,Clausula Vera,False,0.0,D3,-P4,D,-P4,4/2,4,3.0,0.11864406779661017,28.0,6.0,Pierre Colin,Missa Confitemini: Kyrie
1,Authentic,True,-1.0,D3,-P4,,,4/2,5,2.0,0.1440677966101695,6.0,6.0,Pierre Colin,Missa Confitemini: Kyrie
2,Authentic,False,0.0,D3,-P4,D,-P4,4/2,6,1.0,0.1694915254237288,6.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
3,Authentic,False,0.0,B-3,m3,D,-P4,4/2,8,1.0,0.23728813559322035,16.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
4,Authentic,False,1.0,G3,P1,G,P1,8/2,10,1.0,0.3050847457627119,16.0,40.0,Pierre Colin,Missa Confitemini: Kyrie
5,Clausula Vera,True,-1.0,D3,-P4,,,4/2,14,1.0,0.4745762711864407,40.0,2.0,Pierre Colin,Missa Confitemini: Kyrie
6,Authentic,False,0.0,D3,-P4,D,-P4,4/2,14,2.0,0.4830508474576271,2.0,14.0,Pierre Colin,Missa Confitemini: Kyrie
7,Authentic,False,0.0,G3,P1,G,P1,4/2,16,1.0,0.5423728813559322,14.0,8.0,Pierre Colin,Missa Confitemini: Kyrie
8,Clausula Vera,False,0.0,G3,P1,G,P1,4/2,17,1.0,0.576271186440678,8.0,8.0,Pierre Colin,Missa Confitemini: Kyrie
9,Authentic,False,0.0,D3,-P4,D,-P4,4/2,18,1.0,0.6101694915254238,8.0,48.0,Pierre Colin,Missa Confitemini: Kyrie
10,Clausula Vera,False,1.0,G3,P1,G,P1,4/2,23,1.0,0.8135593220338984,48.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
11,Clausula Vera,False,0.0,G3,P1,G,P1,4/2,25,1.0,0.8813559322033898,16.0,28.0,Pierre Colin,Missa Confitemini: Kyrie
12,Authentic,False,1.0,G3,P1,G,P1,10/2,28,3.0,1.0,28.0,16.0,Pierre Colin,Missa Confitemini: Kyrie
13,,,,G3,P1,G,P1,4/2,6,3.0,0.0658682634730539,44.0,60.0,Pierre Colin,Missa Confitemini: Gloria
14,Authentic,False,1.0,G3,P1,G,P1,4/2,14,1.0,0.15568862275449102,60.0,92.0,Pierre Colin,Missa Confitemini: Gloria
15,Clausula Vera,False,1.0,G3,P1,G,P1,4/2,25,3.0,0.2934131736526946,92.0,40.0,Pierre Colin,Missa Confitemini: Gloria
16,Clausula Vera,False,1.0,B-3,m3,B-,m3,4/2,30,3.0,0.3532934131736527,40.0,28.0,Pierre Colin,Missa Confitemini: Gloria
17,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,34,1.0,0.39520958083832336,28.0,16.0,Pierre Colin,Missa Confitemini: Gloria
18,Authentic,False,1.0,G3,P1,G,P1,4/2,36,1.0,0.41916167664670656,16.0,26.0,Pierre Colin,Missa Confitemini: Gloria
19,,,,A3,M2,C#,-d5,4/2,39,2.0,0.45808383233532934,26.0,2.0,Pierre Colin,Missa Confitemini: Gloria
20,Clausula Vera,False,1.0,D3,-P4,D,-P4,4/2,39,3.0,0.46107784431137727,2.0,28.0,Pierre Colin,Missa Confitemini: Gloria
21,Clausula Vera,True,1.0,G3,P1,G,P1,4/2,43,1.0,0.5029940119760479,28.0,32.0,Pierre Colin,Missa Confitemini: Gloria
