Measure	Beat	Offset	figures
1	1.0	0.0	583
2	1.0	8.0	358
2	2.0	10.0	583
2	3.0	12.0	358
3	1.0	16.0	583
3	3.0	20.0	050
3	4.0	22.0	058
4	1.0	24.0	803
4	2.5	27.0	804
4	3.0	28.0	633
4	4.0	30.0	638
4	4.5	31.0	527
5	1.0	32.0	335
5	2.0	34.0	453
5	2.5	35.0	363
5	3.0	36.0	584
5	4.0	38.0	583
6	1.0	40.0	838
6	3.0	44.0	583
7	3.0	52.0	358
7	3.5	53.0	362
7	4.0	54.0	383
7	4.5	55.0	324
8	1.0	56.0	533
8	1.5	57.0	523
8	2.0	58.0	368
8	3.0	60.0	373
8	4.0	62.0	363
9	1.0	64.0	583
9	3.0	68.0	830
10	1.0	72.0	583
11	1.0	80.0	835
11	1.5	81.0	724
11	2.0	82.0	683
11	2.5	83.0	572
11	3.0	84.0	358
11	4.0	86.0	583
12	1.0	88.0	636
12	2.0	90.0	853
12	3.0	92.0	385
12	4.0	94.0	484
13	1.0	96.0	584
13	2.0	98.0	583
13	3.0	100.0	838
14	1.0	108.0	583
14	3.0	112.0	358
15	1.0	116.0	583
15	2.5	119.0	573
15	2.75	119.5	563
15	3.0	120.0	353
15	4.0	122.0	363
16	1.0	124.0	573
16	2.0	126.0	883
16	3.0	128.0	373
16	4.0	130.0	363
17	1.0	132.0	583
17	3.0	136.0	385
18	1.0	140.0	853
18	4.0	146.0	583
19	1.0	148.0	353
19	2.0	150.0	583
19	3.0	152.0	358
19	4.0	154.0	363
20	1.0	156.0	584
20	1.5	157.0	583
20	2.0	158.0	835
20	3.0	160.0	584
20	4.0	162.0	583
21	1.0	164.0	838
21	3.0	168.0	535
22	1.0	172.0	358
22	2.0	174.0	835
22	3.0	176.0	458
22	4.0	178.0	358
23	1.0	180.0	833
23	2.0	182.0	583
23	2.5	183.0	573
23	3.0	184.0	358
23	4.0	186.0	583
24	1.0	188.0	473
24	2.0	190.0	363
24	3.0	192.0	583
25	1.0	196.0	850
25	2.0	198.0	853
25	3.0	200.0	538
25	3.5	201.0	532
25	4.0	202.0	533
25	4.5	203.0	534
26	1.0	204.0	835
26	2.0	206.0	247
26	2.5	207.0	358
26	3.0	208.0	584
26	4.0	210.0	583
27	1.0	212.0	838
27	2.0	214.0	538
27	3.0	216.0	530
27	4.0	218.0	538
28	1.0	220.0	053
28	2.0	222.0	853
28	2.5	223.0	844
28	3.0	224.0	835
28	3.5	225.0	825
28	4.0	226.0	385
28	4.5	227.0	375
29	1.0	228.0	853
29	1.5	229.0	852
29	2.0	230.0	835
29	2.5	231.0	735
29	3.0	232.0	584
29	4.0	234.0	583
30	1.0	236.0	838
30	2.0	238.0	833
30	2.5	239.0	823
30	3.0	240.0	038
30	3.5	241.0	047
30	4.0	242.0	583
30	4.5	243.0	472
31	1.0	244.0	388
31	1.5	245.0	287
31	2.0	246.0	386
31	2.5	247.0	385
31	3.0	248.0	853
31	3.5	249.0	852
31	4.0	250.0	835
