Measure	Beat	Offset	4_3	4_2	4_1	3_2	3_1	2_1	Composer	Title	figures	figures_combined
1	1.0	0.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '358', '583', '358', '583', '050', '058', '803', '804', '633', '638', '527']
2	1.0	8.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '583', '358', '583', '050', '058', '803', '804', '633', '638', '527', '335']
2	2.0	10.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '358', '583', '050', '058', '803', '804', '633', '638', '527', '335', '453']
2	3.0	12.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '583', '050', '058', '803', '804', '633', '638', '527', '335', '453', '363']
3	1.0	16.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '050', '058', '803', '804', '633', '638', '527', '335', '453', '363', '584']
3	3.0	20.0	0	0	0	5	0	0	Pierre Sandrin	Doulce memoire	050	['050', '058', '803', '804', '633', '638', '527', '335', '453', '363', '584', '583']
3	4.0	22.0	0	0	0	5	8	4	Pierre Sandrin	Doulce memoire	058	['058', '803', '804', '633', '638', '527', '335', '453', '363', '584', '583', '838']
4	1.0	24.0	8	0	3	0	3	0	Pierre Sandrin	Doulce memoire	803	['803', '804', '633', '638', '527', '335', '453', '363', '584', '583', '838', '583']
4	2.5	27.0	8	0	4	0	4	0	Pierre Sandrin	Doulce memoire	804	['804', '633', '638', '527', '335', '453', '363', '584', '583', '838', '583', '358']
4	3.0	28.0	6	3	3	4	5	8	Pierre Sandrin	Doulce memoire	633	['633', '638', '527', '335', '453', '363', '584', '583', '838', '583', '358', '362']
4	4.0	30.0	6	3	8	4	3	6	Pierre Sandrin	Doulce memoire	638	['638', '527', '335', '453', '363', '584', '583', '838', '583', '358', '362', '383']
4	4.5	31.0	5	2	7	4	3	6	Pierre Sandrin	Doulce memoire	527	['527', '335', '453', '363', '584', '583', '838', '583', '358', '362', '383', '324']
5	1.0	32.0	3	3	5	1	3	3	Pierre Sandrin	Doulce memoire	335	['335', '453', '363', '584', '583', '838', '583', '358', '362', '383', '324', '533']
5	2.0	34.0	4	5	3	2	7	6	Pierre Sandrin	Doulce memoire	453	['453', '363', '584', '583', '838', '583', '358', '362', '383', '324', '533', '523']
5	2.5	35.0	3	6	3	4	8	5	Pierre Sandrin	Doulce memoire	363	['363', '584', '583', '838', '583', '358', '362', '383', '324', '533', '523', '368']
5	3.0	36.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '583', '358', '362', '383', '324', '533', '523', '368', '373']
5	4.0	38.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '583', '358', '362', '383', '324', '533', '523', '368', '373', '363']
6	1.0	40.0	8	3	8	3	8	6	Pierre Sandrin	Doulce memoire	838	['838', '583', '358', '362', '383', '324', '533', '523', '368', '373', '363', '583']
6	3.0	44.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '358', '362', '383', '324', '533', '523', '368', '373', '363', '583', '830']
7	3.0	52.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '362', '383', '324', '533', '523', '368', '373', '363', '583', '830', '583']
7	3.5	53.0	3	6	2	4	7	4	Pierre Sandrin	Doulce memoire	362	['362', '383', '324', '533', '523', '368', '373', '363', '583', '830', '583', '835']
7	4.0	54.0	3	8	3	6	8	3	Pierre Sandrin	Doulce memoire	383	['383', '324', '533', '523', '368', '373', '363', '583', '830', '583', '835', '724']
7	4.5	55.0	3	2	4	7	2	3	Pierre Sandrin	Doulce memoire	324	['324', '533', '523', '368', '373', '363', '583', '830', '583', '835', '724', '683']
8	1.0	56.0	5	3	3	6	6	1	Pierre Sandrin	Doulce memoire	533	['533', '523', '368', '373', '363', '583', '830', '583', '835', '724', '683', '572']
8	1.5	57.0	5	2	3	5	6	2	Pierre Sandrin	Doulce memoire	523	['523', '368', '373', '363', '583', '830', '583', '835', '724', '683', '572', '358']
8	2.0	58.0	3	6	8	4	6	3	Pierre Sandrin	Doulce memoire	368	['368', '373', '363', '583', '830', '583', '835', '724', '683', '572', '358', '583']
8	3.0	60.0	3	7	3	5	8	4	Pierre Sandrin	Doulce memoire	373	['373', '363', '583', '830', '583', '835', '724', '683', '572', '358', '583', '636']
8	4.0	62.0	3	6	3	4	8	5	Pierre Sandrin	Doulce memoire	363	['363', '583', '830', '583', '835', '724', '683', '572', '358', '583', '636', '853']
9	1.0	64.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '830', '583', '835', '724', '683', '572', '358', '583', '636', '853', '385']
9	3.0	68.0	8	3	0	3	0	0	Pierre Sandrin	Doulce memoire	830	['830', '583', '835', '724', '683', '572', '358', '583', '636', '853', '385', '484']
10	1.0	72.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '835', '724', '683', '572', '358', '583', '636', '853', '385', '484', '584']
11	1.0	80.0	8	3	5	3	5	3	Pierre Sandrin	Doulce memoire	835	['835', '724', '683', '572', '358', '583', '636', '853', '385', '484', '584', '583']
11	1.5	81.0	7	2	4	3	5	3	Pierre Sandrin	Doulce memoire	724	['724', '683', '572', '358', '583', '636', '853', '385', '484', '584', '583', '838']
11	2.0	82.0	6	8	3	3	5	3	Pierre Sandrin	Doulce memoire	683	['683', '572', '358', '583', '636', '853', '385', '484', '584', '583', '838', '583']
11	2.5	83.0	5	7	2	3	5	3	Pierre Sandrin	Doulce memoire	572	['572', '358', '583', '636', '853', '385', '484', '584', '583', '838', '583', '358']
11	3.0	84.0	3	5	8	3	6	4	Pierre Sandrin	Doulce memoire	358	['358', '583', '636', '853', '385', '484', '584', '583', '838', '583', '358', '583']
11	4.0	86.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '636', '853', '385', '484', '584', '583', '838', '583', '358', '583', '573']
12	1.0	88.0	6	3	6	5	8	4	Pierre Sandrin	Doulce memoire	636	['636', '853', '385', '484', '584', '583', '838', '583', '358', '583', '573', '563']
12	2.0	90.0	8	5	3	5	3	6	Pierre Sandrin	Doulce memoire	853	['853', '385', '484', '584', '583', '838', '583', '358', '583', '573', '563', '353']
12	3.0	92.0	3	8	5	6	3	5	Pierre Sandrin	Doulce memoire	385	['385', '484', '584', '583', '838', '583', '358', '583', '573', '563', '353', '363']
12	4.0	94.0	4	8	4	5	8	4	Pierre Sandrin	Doulce memoire	484	['484', '584', '583', '838', '583', '358', '583', '573', '563', '353', '363', '573']
13	1.0	96.0	5	8	4	4	7	4	Pierre Sandrin	Doulce memoire	584	['584', '583', '838', '583', '358', '583', '573', '563', '353', '363', '573', '883']
13	2.0	98.0	5	8	3	4	6	3	Pierre Sandrin	Doulce memoire	583	['583', '838', '583', '358', '583', '573', '563', '353', '363', '573', '883', '373']
