,Bassus_SecundusTenor,Bassus_PrimusTenor,Bassus_Contratenor,Bassus_Superius,SecundusTenor_PrimusTenor,SecundusTenor_Contratenor,SecundusTenor_Superius,PrimusTenor_Contratenor,PrimusTenor_Superius,Contratenor_Superius
12.0,,,,,,,,,,"8_Held, 10_4, 6_Held, 5_Held, 4"
14.0,,,,,,,,,,"10_4, 6_Held, 5_Held, 4_-2, 3"
16.0,,,,,,,,,,"6_Held, 5_Held, 4_-2, 3_2, 3"
18.0,,,,,,,,,,"5_Held, 4_-2, 3_2, 3_3, 3"
21.0,,,,,,,,,,"4_-2, 3_2, 3_3, 3_-2, 3"
22.0,,,,,,,,,,"3_2, 3_3, 3_-2, 3_-2, 3"
24.0,,,,,,,,,,"3_3, 3_-2, 3_-2, 3_-2, 4"
26.0,,,,,,,,,,"3_-2, 3_-2, 3_-2, 4_-3, 5"
28.0,,,,,,,,,,"3_-2, 3_-2, 4_-3, 5_2, 3"
30.0,,,,,,,,,,"3_-2, 4_-3, 5_2, 3_2, 4"
32.0,,,,,,,,"8_Held, 7_Held, 5_Held, 6_5, 3","10_Held, 9_Held, 8_5, 6_Held, 5",
33.0,,,,,,,,"7_Held, 5_Held, 6_5, 3_Held, 4",,"4_-3, 5_2, 3_2, 4_2, 3"
34.0,,,,,,,,"5_Held, 6_5, 3_Held, 4_Held, 5","9_Held, 8_5, 6_Held, 5_Held, 6","5_2, 3_2, 4_2, 3_2, 1"
35.0,,,,,,,,"6_5, 3_Held, 4_Held, 5_Held, 1","8_5, 6_Held, 5_Held, 6_-2, 8","3_2, 4_2, 3_2, 1_Held, 2"
36.0,,,,,,,,"3_Held, 4_Held, 5_Held, 1_-2, 5","6_Held, 5_Held, 6_-2, 8_2, 5","4_2, 3_2, 1_Held, 2_-5, 6"
37.0,,,,,,,,"4_Held, 5_Held, 1_-2, 5_2, 4",,"3_2, 1_Held, 2_-5, 6_4, 4"
38.0,,,,,,,,"5_Held, 1_-2, 5_2, 4_3, 1","5_Held, 6_-2, 8_2, 5_3, 3","1_Held, 2_-5, 6_4, 4_Held, 2"
40.0,,,,,,,,,"6_-2, 8_2, 5_3, 3_-2, 3","2_-5, 6_4, 4_Held, 2_-2, 3"
41.0,,,,,,,,"1_-2, 5_2, 4_3, 1_-2, 3",,"6_4, 4_Held, 2_-2, 3_2, 1"
42.0,,,,,,,,"5_2, 4_3, 1_-2, 3_-2, 4","8_2, 5_3, 3_-2, 3_-2, 6","4_Held, 2_-2, 3_2, 1_Held, 3"
44.0,,"8_Held, 10_4, 6_Held, 5_Held, 4","11_Held, 10_4, 8_Held, 7_Held, 5","12_4, 8_Held, 10_-2, 10_2, 9",,,,"4_3, 1_-2, 3_-2, 4_Held, 3","5_3, 3_-2, 3_-2, 6_-2, 7","2_-2, 3_2, 1_Held, 3_-2, 4"
46.0,,"10_4, 6_Held, 5_Held, 4_-2, 3","10_4, 8_Held, 7_Held, 5_-2, 8",,,,,"1_-2, 3_-2, 4_Held, 3_Held, 1","3_-2, 3_-2, 6_-2, 7_-3, 8","3_2, 1_Held, 3_-2, 4_-3, 6"
48.0,,"6_Held, 5_Held, 4_-2, 3_2, 3","8_Held, 7_Held, 5_-2, 8_2, 6","8_Held, 10_-2, 10_2, 9_3, 6",,,,"3_-2, 4_Held, 3_Held, 1_-2, 2","3_-2, 6_-2, 7_-3, 8_2, 7","1_Held, 3_-2, 4_-3, 6_3, 3"
50.0,,"5_Held, 4_-2, 3_2, 3_3, 3",,"10_-2, 10_2, 9_3, 6_-2, 8",,,,"4_Held, 3_Held, 1_-2, 2_-3, 6","6_-2, 7_-3, 8_2, 7_3, 4","3_-2, 4_-3, 6_3, 3_-2, 4"
51.0,,,"7_Held, 5_-2, 8_2, 6_3, 3",,,,,"3_Held, 1_-2, 2_-3, 6_2, 4",,"4_-3, 6_3, 3_-2, 4_-2, 4"
52.0,,,"5_-2, 8_2, 6_3, 3_-2, 5",,,,,"1_-2, 2_-3, 6_2, 4_3, 1",,"6_3, 3_-2, 4_-2, 4_2, 4"
53.0,,"4_-2, 3_2, 3_3, 3_-2, 4",,,,,,"2_-3, 6_2, 4_3, 1_Held, 2","7_-3, 8_2, 7_3, 4_Held, 5",
54.0,,"3_2, 3_3, 3_-2, 4_Held, 3","8_2, 6_3, 3_-2, 5_Held, 6","10_2, 9_3, 6_-2, 8_-2, 9",,,,"6_2, 4_3, 1_Held, 2_-2, 4","8_2, 7_3, 4_Held, 5_-2, 6","3_-2, 4_-2, 4_2, 4_2, 3"
56.0,,"3_3, 3_-2, 4_Held, 3_-2, 4","6_3, 3_-2, 5_Held, 6_-2, 6",,,,,"4_3, 1_Held, 2_-2, 4_Held, 3",,"4_-2, 4_2, 4_2, 3_-2, 4"
58.0,,"3_-2, 4_Held, 3_-2, 4_-2, 6","3_-2, 5_Held, 6_-2, 6_-2, 8",,,,,"1_Held, 2_-2, 4_Held, 3_2, 3",,
60.0,,"4_Held, 3_-2, 4_-2, 6_-2, 6","5_Held, 6_-2, 6_-2, 8_-2, 10",,,,,"2_-2, 4_Held, 3_2, 3_-2, 5",,
62.0,,"3_-2, 4_-2, 6_-2, 6_Held, 5","6_-2, 6_-2, 8_-2, 10_2, 10",,,,,"4_Held, 3_2, 3_-2, 5_-2, 6",,
63.0,,"4_-2, 6_-2, 6_Held, 5_2, 3","6_-2, 8_-2, 10_2, 10_2, 8",,,,,"3_2, 3_-2, 5_-2, 6_-2, 8",,
64.0,,"6_-2, 6_Held, 5_2, 3_2, 3","8_-2, 10_2, 10_2, 8_-3, 10",,,,,"3_-2, 5_-2, 6_-2, 8_2, 6",,
66.0,"3_2, 6_2, 5_-3, 7_Held, 6","6_Held, 5_2, 3_2, 3_-3, 3","10_2, 10_2, 8_-3, 10_Held, 9",,"4_Held, 3_5, -4_Held, -3_Held, -5","8_5, 5_Held, 4_-2, 4_Held, 3",,"5_-2, 6_-2, 8_2, 6_-3, 8",,
67.0,,"5_2, 3_2, 3_-3, 3_-2, 5",,,"3_5, -4_Held, -3_Held, -5_-2, -4",,,"6_-2, 8_2, 6_-3, 8_Held, 7",,
68.0,"6_2, 5_-3, 7_Held, 6_-2, 8","3_2, 3_-3, 3_-2, 5_2, 4","10_2, 8_-3, 10_Held, 9_Held, 8",,"-4_Held, -3_Held, -5_-2, -4_2, -4","5_Held, 4_-2, 4_Held, 3_2, 3",,"8_2, 6_-3, 8_Held, 7_Held, 6",,
70.0,"5_-3, 7_Held, 6_-2, 8_2, 7","3_-3, 3_-2, 5_2, 4_2, 3","8_-3, 10_Held, 9_Held, 8_-2, 10",,"-3_Held, -5_-2, -4_2, -4_3, -6","4_-2, 4_Held, 3_2, 3_Held, 5",,"6_-3, 8_Held, 7_Held, 6_2, 6",,
72.0,"7_Held, 6_-2, 8_2, 7_2, 6","3_-2, 5_2, 4_2, 3_2, 2","10_Held, 9_Held, 8_-2, 10_2, 9","10_-2, 15_2, 14_2, 13_2, 12","-5_-2, -4_2, -4_3, -6_-2, -5",,"4_-2, 5_2, 8_3, 6_-2, 7","8_Held, 7_Held, 6_2, 6_Held, 8",,"1_-2, 2_-2, 3_2, 6_3, 4"
74.0,"6_-2, 8_2, 7_2, 6_2, 7",,"9_Held, 8_-2, 10_2, 9_2, 10",,,"4_Held, 3_2, 3_Held, 5_3, 3","5_2, 8_3, 6_-2, 7_Held, 6","7_Held, 6_2, 6_Held, 8_Held, 8",,"2_-2, 3_2, 6_3, 4_1, 3"
75.0,,,"8_-2, 10_2, 9_2, 10_2, 9",,,"3_2, 3_Held, 5_3, 3_-2, 4",,,,"3_2, 6_3, 4_1, 3_-3, 6"
76.0,"8_2, 7_2, 6_2, 7_2, 5","5_2, 4_2, 3_2, 2_2, 1","10_2, 9_2, 10_2, 9_2, 8","15_2, 14_2, 13_2, 12_2, 11",,"3_Held, 5_3, 3_-2, 4_Held, 4","8_3, 6_-2, 7_Held, 6_-2, 8",,,"6_3, 4_1, 3_-3, 6_Held, 8"
77.0,"7_2, 6_2, 7_2, 5_2, 4","4_2, 3_2, 2_2, 1_2, -2","9_2, 10_2, 9_2, 8_2, 7","14_2, 13_2, 12_2, 11_2, 10",,,,,,
78.0,"6_2, 7_2, 5_2, 4_2, 3","3_2, 2_2, 1_2, -2_2, -3","10_2, 9_2, 8_2, 7_2, 6","13_2, 12_2, 11_2, 10_2, 8",,"5_3, 3_-2, 4_Held, 4_-2, 3",,,,"4_1, 3_-3, 6_Held, 8_2, 7"
79.0,"7_2, 5_2, 4_2, 3_Held, 2",,"9_2, 8_2, 7_2, 6_Held, 4","12_2, 11_2, 10_2, 8_Held, 9",,"3_-2, 4_Held, 4_-2, 3_Held, 4","6_-2, 7_Held, 6_-2, 8_Held, 10",,,
80.0,"5_2, 4_2, 3_Held, 2_-2, 3",,"8_2, 7_2, 6_Held, 4_-2, 5","11_2, 10_2, 8_Held, 9_-2, 10",,,,,,
81.0,"4_2, 3_Held, 2_-2, 3_-2, 4",,"7_2, 6_Held, 4_-2, 5_-2, 6","10_2, 8_Held, 9_-2, 10_-2, 11",,,,,,
82.0,"3_Held, 2_-2, 3_-2, 4_2, 3",,"6_Held, 4_-2, 5_-2, 6_2, 5","8_Held, 9_-2, 10_-2, 11_2, 12",,,,,,"3_-3, 6_Held, 8_2, 7_2, 5"
84.0,,,"4_-2, 5_-2, 6_2, 5_Held, 6","9_-2, 10_-2, 11_2, 12_2, 10",,,,,,"6_Held, 8_2, 7_2, 5_-5, 8"
85.0,,,"5_-2, 6_2, 5_Held, 6_2, 6",,,,,,,
86.0,,"3_2, 3_Held, 2_Held, 3_Held, 4",,,,,,"3_Held, 4_2, 4_-2, 5_2, 4","10_2, 8_-2, 9_2, 8_2, 7","8_2, 7_2, 5_-5, 8_5, 3"
87.0,,,,,,,,"4_2, 4_-2, 5_2, 4_2, 3",,"7_2, 5_-5, 8_5, 3_1, 3"
88.0,,,,,,,,"4_-2, 5_2, 4_2, 3_2, -4","8_-2, 9_2, 8_2, 7_2, 5","5_-5, 8_5, 3_1, 3_1, 1"
89.0,,,,,,,,"5_2, 4_2, 3_2, -4_-2, -3","9_2, 8_2, 7_2, 5_-2, 6",
90.0,,,,,"5_Held, 6_2, 6_Held, 5_2, 3","8_2, 3_2, 6_-3, 8_4, 5","12_2, 10_2, 8_-3, 10_4, 5","4_2, 3_2, -4_-2, -3_-2, 4","8_2, 7_2, 5_-2, 6_-2, 6",
91.0,,,,,"6_2, 6_Held, 5_2, 3_Held, 2",,,"3_2, -4_-2, -3_-2, 4_-2, 5","7_2, 5_-2, 6_-2, 6_-2, 7",
92.0,,,,,"6_Held, 5_2, 3_Held, 2_-3, 5","3_2, 6_-3, 8_4, 5_Held, 4","10_2, 8_-3, 10_4, 5_Held, 6","-4_-2, -3_-2, 4_-2, 5_2, 4","5_-2, 6_-2, 6_-2, 7_2, 6","8_5, 3_1, 3_1, 1_-2, 3"
93.0,,,,,"5_2, 3_Held, 2_-3, 5_4, 3",,,"-3_-2, 4_-2, 5_2, 4_2, 3","6_-2, 6_-2, 7_2, 6_2, 3",
94.0,"3_Held, 1_-3, 6_2, 5_Held, 4","5_Held, 4_Held, 5_-3, 8_2, 3","8_Held, 8_-3, 10_2, 8_2, 6","10_Held, 10_-3, 10_2, 10_2, 8","3_Held, 2_-3, 5_4, 3_Held, -3","6_-3, 8_4, 5_Held, 4_-2, 5","8_-3, 10_4, 5_Held, 6_-2, 7","4_-2, 5_2, 4_2, 3_-5, 6","6_-2, 7_2, 6_2, 3_-5, 8","3_1, 3_1, 1_-2, 3_-2, 3"
95.0,,"4_Held, 5_-3, 8_2, 3_Held, 5",,,"2_-3, 5_4, 3_Held, -3_-2, -2",,,"5_2, 4_2, 3_-5, 6_3, 4","7_2, 6_2, 3_-5, 8_3, 6",
96.0,"1_-3, 6_2, 5_Held, 4_Held, 5","5_-3, 8_2, 3_Held, 5_2, 4","8_-3, 10_2, 8_2, 6_Held, 8","10_-3, 10_2, 10_2, 8_-2, 9","5_4, 3_Held, -3_-2, -2_2, 1","8_4, 5_Held, 4_-2, 5_2, 4","10_4, 5_Held, 6_-2, 7_2, 6","4_2, 3_-5, 6_3, 4_Held, 3","6_2, 3_-5, 8_3, 6_Held, 5","3_1, 1_-2, 3_-2, 3_3, 1"
98.0,"6_2, 5_Held, 4_Held, 5_Held, 6","8_2, 3_Held, 5_2, 4_Held, 2","10_2, 8_2, 6_Held, 8_-2, 9","10_2, 10_2, 8_-2, 9_-2, 10","3_Held, -3_-2, -2_2, 1_2, -2","5_Held, 4_-2, 5_2, 4_2, 3","5_Held, 6_-2, 7_2, 6_2, 5","3_-5, 6_3, 4_Held, 3_-3, 5","3_-5, 8_3, 6_Held, 5_-3, 7","1_-2, 3_-2, 3_3, 1_-2, 2"
100.0,"5_Held, 4_Held, 5_Held, 6_2, 6","3_Held, 5_2, 4_Held, 2_Held, 3","8_2, 6_Held, 8_-2, 9_-2, 10","10_2, 8_-2, 9_-2, 10_-2, 11","-3_-2, -2_2, 1_2, -2_2, -3","4_-2, 5_2, 4_2, 3_2, 1","6_-2, 7_2, 6_2, 5_2, 3","6_3, 4_Held, 3_-3, 5_2, 6","8_3, 6_Held, 5_-3, 7_2, 6","3_-2, 3_3, 1_-2, 2_-2, 3"
101.0,"4_Held, 5_Held, 6_2, 6_Held, 4",,,,"-2_2, 1_2, -2_2, -3_-3, -3","5_2, 4_2, 3_2, 1_-3, 3","7_2, 6_2, 5_2, 3_-3, 5",,,
102.0,"5_Held, 6_2, 6_Held, 4_Held, 5","5_2, 4_Held, 2_Held, 3_-2, 4",,,"1_2, -2_2, -3_-3, -3_2, -3","4_2, 3_2, 1_-3, 3_2, 4","6_2, 5_2, 3_-3, 5_2, 4","4_Held, 3_-3, 5_2, 6_2, 5","6_Held, 5_-3, 7_2, 6_2, 5",
103.0,"6_2, 6_Held, 4_Held, 5_-2, 6",,,,"-2_2, -3_-3, -3_2, -3_-2, 1","3_2, 1_-3, 3_2, 4_-2, 5","5_2, 3_-3, 5_2, 4_-2, 5",,,
104.0,"6_Held, 4_Held, 5_-2, 6_-2, 6","4_Held, 2_Held, 3_-2, 4_-2, 6","6_Held, 8_-2, 9_-2, 10_Held, 9","8_-2, 9_-2, 10_-2, 11_-2, 12","-3_-3, -3_2, -3_-2, 1_1, 1","1_-3, 3_2, 4_-2, 5_Held, 4","3_-3, 5_2, 4_-2, 5_1, 5","3_-3, 5_2, 6_2, 5_Held, 4","5_-3, 7_2, 6_2, 5_-2, 6","3_3, 1_-2, 2_-2, 3_-2, 4"
105.0,"4_Held, 5_-2, 6_-2, 6_-2, 7","2_Held, 3_-2, 4_-2, 6_-2, 7",,,"-3_2, -3_-2, 1_1, 1_Held, -2","3_2, 4_-2, 5_Held, 4_1, 3","5_2, 4_-2, 5_1, 5_-3, 7","5_2, 6_2, 5_Held, 4_Held, 3","7_2, 6_2, 5_-2, 6_-2, 7",
