,Composer,Title,First_Offset,Measures_Beats,Melodic_Entry_Intervals,Offsets,Soggetti,Time_Entry_Intervals,Voices,Presentation_Type,Number_Entries,Flexed_Entries,Parallel_Entries,Parallel_Voice,Count_Non_Overlaps,Mel_Ent,Soggetti_Joined
0,Josquin Des Prés,Ave Maria,0.0,"['1/1.0', '3/1.0', '5/1.0', '7/1.0']","['P-8', 'P1', 'P-8']","[0.0, 16.0, 32.0, 48.0]","[('4', '1', '2', '2', '-3')]","[16.0, 16.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",PEN,4,False,0.0,,0,P-8_P1_P-8,"('4', '1', '2', '2', '-3')"
1,Josquin Des Prés,Ave Maria,56.0,"['8/1.0', '10/1.0', '12/1.0']","['P-8', 'P1']","[56.0, 72.0, 88.0]","[('-2', '-2', '-2', '2', '-2')]","[16.0, 16.0]","['[Superius]', 'Altus', 'Tenor']",PEN,3,False,0.0,,0,P-8_P1,"('-2', '-2', '-2', '2', '-2')"
2,Josquin Des Prés,Ave Maria,124.0,"['16/3.0', '18/3.0', '20/3.0', '22/3.0']","['P-8', 'P1', 'P-8']","[124.0, 140.0, 156.0, 172.0]","[('1', '1', '2', '2', '-3')]","[16.0, 16.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",PEN,4,False,0.0,,0,P-8_P1_P-8,"('1', '1', '2', '2', '-3')"
3,Josquin Des Prés,Ave Maria,176.0,"['23/1.0', '28/1.0']",['P-8'],"[176.0, 216.0]","[('-3', '-2', '2', '2', '2')]",[40.0],"['Altus', 'Bassus']",FUGA,2,False,0.0,,0,P-8,"('-3', '-2', '2', '2', '2')"
4,Josquin Des Prés,Ave Maria,244.0,"['31/3.0', '35/3.0']",['P-8'],"[244.0, 276.0]","[('1', '2', '2', '1', '2')]",[32.0],"['[Superius]', 'Tenor']",FUGA,2,False,0.0,,0,P-8,"('1', '2', '2', '1', '2')"
5,Josquin Des Prés,Ave Maria,428.0,"['54/3.0', '55/1.0', '59/3.0', '60/1.0']","['P-5', 'P-4', 'P-5']","[428.0, 432.0, 468.0, 472.0]","[('4', '-2', '2', '2', '-3')]","[4.0, 36.0, 4.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",ID,4,False,0.0,,0,P-5_P-4_P-5,"('4', '-2', '2', '2', '-3')"
6,Josquin Des Prés,Ave Maria,508.0,"['64/3.0', '66/3.0', '67/3.0', '69/3.0']","['P-5', 'P-4', 'P-5']","[508.0, 524.0, 532.0, 548.0]","[('2', '-3', '2', '-3', '2')]","[16.0, 8.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']",ID,4,False,0.0,,0,P-5_P-4_P-5,"('2', '-3', '2', '-3', '2')"
7,Josquin Des Prés,Ave Maria,616.0,"['78/1.0', '81/1.0']",['P-8'],"[616.0, 640.0]","[('1', '1', '2', '-3', '2')]",[24.0],"['[Superius]', 'Tenor']",FUGA,2,False,0.0,,0,P-8,"('1', '1', '2', '-3', '2')"
8,Josquin Des Prés,Ave Maria,748.0,"['94/1.0', '98/1.0']",['P1'],"[748.0, 796.0]","[('1', '1', '2', '-2', '-2')]",[48.0],"['Altus', 'Altus']",FUGA,2,False,0.0,,1,P1,"('1', '1', '2', '-2', '-2')"
9,Josquin Des Prés,Ave Maria,944.0,"['111/1.0', '114/1.0', '119/1.0', '122/1.0']","['P-8', 'P8', 'P-8']","[944.0, 968.0, 1008.0, 1032.0]","[('1', '1', '2', '-2', '-2')]","[24.0, 40.0, 24.0]","['[Superius]', 'Tenor', '[Superius]', 'Tenor']",ID,4,False,0.0,,0,P-8_P8_P-8,"('1', '1', '2', '-2', '-2')"
10,Josquin Des Prés,Ave Maria,948.0,"['111/3.0', '119/3.0']",['P1'],"[948.0, 1012.0]","[('1', '-2', '-2', '-2', '-2')]",[64.0],"['Altus', 'Altus']",FUGA,2,False,0.0,,1,P1,"('1', '-2', '-2', '-2', '-2')"
11,Josquin Des Prés,Ave Maria,972.0,"['114/3.0', '122/3.0']",['P1'],"[972.0, 1036.0]","[('1', '-2', '-2', '-3', '5')]",[64.0],"['Bassus', 'Bassus']",FUGA,2,False,0.0,,1,P1,"('1', '-2', '-2', '-3', '5')"
12,Josquin Des Prés,Ave Maria,980.0,"['115/3.0', '123/3.0']",['P1'],"[980.0, 1044.0]","[('2', '2', '1', '2', '-2')]",[64.0],"['Altus', 'Altus']",FUGA,2,False,0.0,,1,P1,"('2', '2', '1', '2', '-2')"
13,Josquin Des Prés,Ave Maria,1076.0,"['127/3.0', '129/3.0']",['P-8'],"[1076.0, 1092.0]","[('2', '2', '2', '-2', '2')]",[16.0],"['[Superius]', 'Tenor']",FUGA,2,False,0.0,,0,P-8,"('2', '2', '2', '-2', '2')"
14,Josquin Des Prés,Ave Maria,1124.0,"['133/3.0', '136/3.0']",['P-8'],"[1124.0, 1148.0]","[('1', '-2', '-2', '2', '-2')]",[24.0],"['[Superius]', 'Tenor']",FUGA,2,False,0.0,,0,P-8,"('1', '-2', '-2', '2', '-2')"
