Measure,Beat,1,2,3,4,Composer,Title
1,1.0,-,-,-,"('1', '1', '3', '-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
1,3.0,-,-,"('1', '1', '3', '2', '-4')","('1', '3', '-2', '-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
1,4.0,-,-,-,"('3', '-2', '-2', '-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
2,1.0,-,"('1', '1', '2', '1', '-2')",-,"('-2', '-2', '-2', '-2', '-3')",Jean Guyon,Missa Je suis déshéritée: Kyrie
2,2.5,-,-,-,"('-2', '-2', '-2', '-3', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
2,3.0,-,-,-,"('-2', '-2', '-3', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
2,4.0,-,-,-,"('-2', '-3', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
3,1.0,"('1', '1', '3', '2', '-4')",-,-,"('-3', '2', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
3,2.0,-,-,-,"('2', '2', '2', '2', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie
4,3.0,-,-,"('1', '1', '3', '2', '-4')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
5,1.0,-,"('1', '1', '3', '2', '-3')","('1', '3', '2', '-4', '8')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
5,2.0,-,-,"('3', '2', '-4', '8', '1')","('1', '1', '-2', '-2', '-3')",Jean Guyon,Missa Je suis déshéritée: Kyrie
5,3.0,-,"('1', '3', '2', '-3', '2')","('2', '-4', '8', '1', '1')","('1', '-2', '-2', '-3', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
5,4.0,-,"('3', '2', '-3', '2', '2')",-,"('-2', '-2', '-3', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
6,1.0,-,"('2', '-3', '2', '2', '2')","('-4', '8', '1', '1', '-2')","('-2', '-3', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
6,3.0,"('1', '1', '-2', '-2', '-2')","('-3', '2', '2', '2', '2')","('8', '1', '1', '-2', '-2')","('-3', '2', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
6,4.0,-,"('2', '2', '2', '2', '-2')","('1', '1', '-2', '-2', '-2')","('2', '2', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
6,4.5,-,"('2', '2', '2', '-2', '-2')",-,"('2', '2', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
7,1.0,"('1', '-2', '-2', '-2', '2')","('2', '2', '-2', '-2', '-3')","('1', '-2', '-2', '-2', '-2')","('2', '2', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
7,1.5,-,"('2', '-2', '-2', '-3', '-3')",-,"('2', '2', '2', '2', '-4')",Jean Guyon,Missa Je suis déshéritée: Kyrie
7,2.0,"('-2', '-2', '-2', '2', '-4')","('-2', '-2', '-3', '-3', '1')","('-2', '-2', '-2', '-2', '3')","('2', '2', '2', '-4', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie
7,3.0,"('-2', '-2', '2', '-4', '1')",-,"('-2', '-2', '-2', '3', '1')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
7,4.0,"('-2', '2', '-4', '1', '1')","('-2', '-3', '-3', '1', '1')","('-2', '-2', '3', '1', '1')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
8,1.0,-,"('-3', '-3', '1', '1', '-2')","('-2', '3', '1', '1', '-2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
8,2.0,"('2', '-4', '1', '1', '3')",-,-,-,Jean Guyon,Missa Je suis déshéritée: Kyrie
8,3.0,"('-4', '1', '1', '3', '2')","('-3', '1', '1', '-2', '4')","('3', '1', '1', '-2', '-2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
8,4.0,"('1', '1', '3', '2', '-4')","('1', '1', '-2', '4', '-2')","('1', '1', '-2', '-2', '-2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
9,1.0,-,"('1', '-2', '4', '-2', '2')","('1', '-2', '-2', '-2', '2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
9,2.0,-,"('-2', '4', '-2', '2', '-4')","('-2', '-2', '-2', '2', '-4')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
9,3.0,-,"('4', '-2', '2', '-4', '5')","('-2', '-2', '2', '-4', '-2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
9,4.0,-,"('-2', '2', '-4', '5', '1')","('-2', '2', '-4', '-2', '2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
10,2.0,-,"('2', '-4', '5', '1', '1')","('2', '-4', '-2', '2', '2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
10,3.0,-,"('-4', '5', '1', '1', '-2')","('-4', '-2', '2', '2', '2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
10,4.0,-,-,"('-2', '2', '2', '2', '2')","('1', '1', '-2', '-2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
11,1.0,-,"('5', '1', '1', '-2', '2')",-,"('1', '-2', '-2', '-2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
11,1.5,-,-,"('2', '2', '2', '2', '2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
11,2.0,-,-,"('2', '2', '2', '2', '-2')","('-2', '-2', '-2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
11,2.5,-,-,"('2', '2', '2', '-2', '-4')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
11,3.0,-,"('1', '1', '-2', '2', '2')","('2', '2', '-2', '-4', '1')","('-2', '-2', '2', '2', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
11,4.0,-,-,"('2', '-2', '-4', '1', '1')","('-2', '2', '2', '2', '-3')",Jean Guyon,Missa Je suis déshéritée: Kyrie
12,1.0,-,"('1', '-2', '2', '2', '2')","('-2', '-4', '1', '1', '3')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
12,2.0,-,"('-2', '2', '2', '2', '-2')",-,"('2', '2', '2', '-3', '5')",Jean Guyon,Missa Je suis déshéritée: Kyrie
12,3.0,"('1', '1', '-2', '-2', '-2')","('2', '2', '2', '-2', '-2')","('-4', '1', '1', '3', '2')","('2', '2', '-3', '5', '2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
12,4.0,-,-,"('1', '1', '3', '2', '2')",-,Jean Guyon,Missa Je suis déshéritée: Kyrie
12,4.5,-,"('2', '2', '-2', '-2', '2')",-,"('2', '-3', '5', '2', '-2')",Jean Guyon,Missa Je suis déshéritée: Kyrie
13,1.0,"('1', '-2', '-2', '-2', '2')",-,"('1', '3', '2', '2', '-2')","('-3', '5', '2', '-2', '-5')",Jean Guyon,Missa Je suis déshéritée: Kyrie
13,2.0,-,-,"('3', '2', '2', '-2', '-2')","('5', '2', '-2', '-5', '5')",Jean Guyon,Missa Je suis déshéritée: Kyrie
13,3.0,-,-,"('2', '2', '-2', '-2', '1')","('2', '-2', '-5', '5', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie
13,4.0,-,-,"('2', '-2', '-2', '1', '1')","('-2', '-5', '5', '1', '1')",Jean Guyon,Missa Je suis déshéritée: Kyrie
