,First_Offset,Measures_Beats,Presentation_Type,Number_of_Entries,Melodic_Entry_Intervals,Time_Entry_Intervals,Voices,Soggetti
0,0.0,"['1/1.0', '3/1.0', '5/1.0', '7/1.0']",PEN,4,"['P-8', 'P1', 'P-8']","[16.0, 16.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']","['4, 1, 2, 2']"
1,56.0,"['8/1.0', '10/1.0', '12/1.0', '14/1.0']",PEN,4,"['P-8', 'P1', 'P-8']","[16.0, 16.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']","['-2, -2, -2, 2']"
2,124.0,"['16/3.0', '18/3.0', '20/3.0', '22/3.0']",PEN,4,"['P-8', 'P1', 'P-8']","[16.0, 16.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']","['1, 1, 2, 2', '1, 1, 1, 2']"
3,176.0,"['23/1.0', '28/1.0']",FUGA,2,['P-8'],[40.0],"['Altus', 'Bassus']","['-3, -2, 2, 2']"
4,244.0,"['31/3.0', '35/3.0']",FUGA,2,['P-8'],[32.0],"['[Superius]', 'Tenor']","['1, 1, 2, 2', '1, 2, 2, 1', '1, 1, 2, 1']"
5,316.0,['40/3.0'],FUGA,2,['M-6'],[0.0],"['[Superius]', 'Tenor']","['1, 1, 2, -2', '1, 1, 2, -3']"
6,428.0,"['54/3.0', '55/1.0', '59/3.0', '60/1.0']",ID,4,"['P-5', 'P-4', 'P-5']","[4.0, 36.0, 4.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']","['4, -2, 2, 2']"
7,508.0,"['64/3.0', '66/3.0', '67/3.0', '69/3.0']",ID,4,"['P-5', 'P-4', 'P-5']","[16.0, 8.0, 16.0]","['[Superius]', 'Altus', 'Tenor', 'Bassus']","['2, -3, 2, -3']"
8,616.0,"['78/1.0', '81/1.0', '84/1.0']",PEN,3,"['P-8', 'M7']","[24.0, 24.0]","['[Superius]', 'Tenor', '[Superius]']","['1, 1, 2, -2', '1, 1, 2, -3']"
9,748.0,"['94/1.0', '98/1.0']",FUGA,2,['P1'],[48.0],"['Altus', 'Altus']","['1, 1, 2, -2', '1, 1, 2, -3']"
10,944.0,"['111/1.0', '114/1.0', '119/1.0', '122/1.0']",ID,4,"['P-8', 'P8', 'P-8']","[24.0, 40.0, 24.0]","['[Superius]', 'Tenor', '[Superius]', 'Tenor']","['1, 1, 2, -2', '1, 1, 2, -3']"
11,948.0,"['111/3.0', '114/3.0', '119/3.0', '122/3.0']",ID,4,"['P-8', 'P8', 'P-8']","[24.0, 40.0, 24.0]","['Altus', 'Bassus', 'Altus', 'Bassus']","['1, -2, -2, -2', '1, -2, -2, -3']"
12,980.0,"['115/3.0', '123/3.0']",FUGA,2,['P1'],[64.0],"['Altus', 'Altus']","['2, 2, 1, 2']"
13,1076.0,"['127/3.0', '129/3.0']",FUGA,2,['P-8'],[16.0],"['[Superius]', 'Tenor']","['2, 2, 2, -2']"
14,1124.0,"['133/3.0', '136/3.0']",FUGA,2,['P-8'],[24.0],"['[Superius]', 'Tenor']","['1, -2, -2, 2']"
